age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy,type
80+,2015,man,0.916675977,0.083324023,0.88588367,0.947468283,0.052531717,0.11411633,cancer
50-55,2015,woman,0.951602508,0.048397492,0.921941393,0.981263624,0.018736376,0.078058607,diabetes
55-60,2015,woman,0.910836801,0.089163199,0.887097031,0.934576572,0.065423428,0.112902969,diabetes
60-65,2015,woman,0.824851174,0.175148826,0.790173607,0.85952874,0.14047126,0.209826393,diabetes
65-70,2015,woman,0.817981062,0.182018938,0.784103012,0.851859112,0.148140888,0.215896988,diabetes
70-75,2015,woman,0.747620853,0.252379147,0.710715216,0.784526491,0.215473509,0.289284784,diabetes
75-80,2015,woman,0.759592669,0.240407331,0.721833704,0.797351634,0.202648366,0.278166296,diabetes
80+,2015,woman,0.732985719,0.267014281,0.696601449,0.769369989,0.230630011,0.303398551,diabetes
50-55,2015,man,0.906294358,0.093705642,0.860109935,0.95247878,0.04752122,0.139890065,diabetes
55-60,2015,man,0.874935826,0.125064174,0.842943588,0.906928063,0.093071937,0.157056412,diabetes
60-65,2015,man,0.816144466,0.183855534,0.777466395,0.854822537,0.145177463,0.222533605,diabetes
65-70,2015,man,0.78382872,0.21617128,0.744017693,0.823639747,0.176360253,0.255982307,diabetes
70-75,2015,man,0.778479149,0.221520851,0.736613832,0.820344467,0.179655533,0.263386168,diabetes
75-80,2015,man,0.753573822,0.246426178,0.709312284,0.797835359,0.202164641,0.290687716,diabetes
80+,2015,man,0.766522127,0.233477873,0.720126485,0.812917768,0.187082232,0.279873515,diabetes
50-55,2015,woman,0.960390358,0.039609642,0.927769171,0.993011545,0.006988455,0.072230829,heart
55-60,2015,woman,0.965138648,0.034861352,0.949482178,0.980795117,0.019204883,0.050517822,heart
60-65,2015,woman,0.944408571,0.055591429,0.92258772,0.966229421,0.033770579,0.07741228,heart
65-70,2015,woman,0.894295469,0.105704531,0.867480203,0.921110736,0.078889264,0.132519797,heart
70-75,2015,woman,0.86780274,0.13219726,0.840216971,0.895388509,0.104611491,0.159783029,heart
75-80,2015,woman,0.864291017,0.135708983,0.833034524,0.89554751,0.10445249,0.166965476,heart
80+,2015,woman,0.847429322,0.152570678,0.818169903,0.876688742,0.123311258,0.181830097,heart
50-55,2015,man,0.975328074,0.024671926,0.95101808,0.999638069,0.000361931,0.04898192,heart
55-60,2015,man,0.969709628,0.030290372,0.954641705,0.984777552,0.015222448,0.045358295,heart
60-65,2015,man,0.942169947,0.057830053,0.921084275,0.963255618,0.036744382,0.078915725,heart
65-70,2015,man,0.886607123,0.113392877,0.854251745,0.9189625,0.0810375,0.145748255,heart
70-75,2015,man,0.88240856,0.11759144,0.852043784,0.912773335,0.087226665,0.147956216,heart
75-80,2015,man,0.866961305,0.133038695,0.831374597,0.902548013,0.097451987,0.168625403,heart
80+,2015,man,0.873805592,0.126194408,0.836764224,0.910846961,0.089153039,0.163235776,heart
50-55,2015,woman,0.995960301,0.004039699,0.988057355,1.003863248,-0.003863248,0.011942645,lung
55-60,2015,woman,0.983837165,0.016162835,0.974013696,0.993660633,0.006339367,0.025986304,lung
60-65,2015,woman,0.974525582,0.025474418,0.961866383,0.987184782,0.012815218,0.038133617,lung
65-70,2015,woman,0.972943546,0.027056454,0.957780724,0.988106367,0.011893633,0.042219276,lung
70-75,2015,woman,0.972247169,0.027752831,0.956831298,0.987663041,0.012336959,0.043168702,lung
75-80,2015,woman,0.950457101,0.049542899,0.930374415,0.970539787,0.029460213,0.069625585,lung
80+,2015,woman,0.950233921,0.049766079,0.932754051,0.967713792,0.032286208,0.067245949,lung
50-55,2015,man,0.988591382,0.011408618,0.971732865,1.005449898,-0.005449898,0.028267135,lung
55-60,2015,man,0.987311899,0.012688101,0.976852031,0.997771767,0.002228233,0.023147969,lung
60-65,2015,man,0.980288066,0.019711934,0.96264742,0.997928712,0.002071288,0.03735258,lung
65-70,2015,man,0.977453765,0.022546235,0.964860099,0.990047431,0.009952569,0.035139901,lung
70-75,2015,man,0.934754875,0.065245125,0.910191869,0.959317881,0.040682119,0.089808131,lung
75-80,2015,man,0.922860773,0.077139227,0.896120486,0.949601061,0.050398939,0.103879514,lung
80+,2015,man,0.923173592,0.076826408,0.89366182,0.952685363,0.047314637,0.10633818,lung
50-55,2015,woman,0.982120199,0.017879801,0.961749674,1.002490724,-0.002490724,0.038250326,stroke
55-60,2015,woman,0.983475869,0.016524131,0.973841189,0.99311055,0.00688945,0.026158811,stroke
60-65,2015,woman,0.965498358,0.034501642,0.948637228,0.982359488,0.017640512,0.051362772,stroke
65-70,2015,woman,0.929737447,0.070262553,0.906579118,0.952895777,0.047104223,0.093420882,stroke
70-75,2015,woman,0.943943098,0.056056902,0.925119425,0.962766771,0.037233229,0.074880575,stroke
75-80,2015,woman,0.920727451,0.079272549,0.896068407,0.945386496,0.054613504,0.103931593,stroke
80+,2015,woman,0.901766249,0.098233751,0.877359171,0.926173326,0.073826674,0.122640829,stroke
50-55,2015,man,0.995493631,0.004506369,0.986675093,1.004312169,-0.004312169,0.013324907,stroke
55-60,2015,man,0.969731864,0.030268136,0.953644504,0.985819224,0.014180776,0.046355496,stroke
60-65,2015,man,0.952905648,0.047094352,0.931308441,0.974502854,0.025497146,0.068691559,stroke
65-70,2015,man,0.91997468,0.08002532,0.894315572,0.945633788,0.054366212,0.105684428,stroke
70-75,2015,man,0.919022423,0.080977577,0.890179935,0.947864911,0.052135089,0.109820065,stroke
75-80,2015,man,0.885917773,0.114082227,0.855355833,0.916479713,0.083520287,0.144644167,stroke
80+,2015,man,0.882138817,0.117861183,0.847648912,0.916628722,0.083371278,0.152351088,stroke
50-55,2015,woman,0.784940118,0.215059882,0.730637973,0.839242264,0.160757736,0.269362027,one or two any condition
55-60,2015,woman,0.722691293,0.277308707,0.685805632,0.759576953,0.240423047,0.314194368,one or two any condition
60-65,2015,woman,0.542189684,0.457810316,0.497806113,0.586573255,0.413426745,0.502193887,one or two any condition
65-70,2015,woman,0.470927874,0.529072126,0.426268482,0.515587266,0.484412734,0.573731518,one or two any condition
70-75,2015,woman,0.367561034,0.632438966,0.327595413,0.407526655,0.592473345,0.672404587,one or two any condition
75-80,2015,woman,0.367189636,0.632810364,0.324421819,0.409957453,0.590042547,0.675578181,one or two any condition
80+,2015,woman,0.356751596,0.643248404,0.317723061,0.395780131,0.604219869,0.682276939,one or two any condition
50-55,2015,man,0.842224139,0.157775861,0.785923058,0.89852522,0.10147478,0.214076942,one or two any condition
55-60,2015,man,0.783575595,0.216424405,0.744765923,0.822385266,0.177614734,0.255234077,one or two any condition
60-65,2015,man,0.6687507,0.3312493,0.621725612,0.715775788,0.284224212,0.378274388,one or two any condition
65-70,2015,man,0.567012978,0.432987022,0.519547363,0.614478593,0.385521407,0.480452637,one or two any condition
70-75,2015,man,0.54381175,0.45618825,0.492712016,0.594911485,0.405088515,0.507287984,one or two any condition
75-80,2015,man,0.476829727,0.523170273,0.425816249,0.527843204,0.472156796,0.574183751,one or two any condition
80+,2015,man,0.44792117,0.55207883,0.392062997,0.503779343,0.496220657,0.607937003,one or two any condition
