age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy,type
55-60,2015,woman,Czech Republic,0.509702479,0.490297521,0.448347006,0.571057952,0.428942048,0.551652994,at least one
60-65,2015,woman,Czech Republic,0.386997119,0.613002881,0.336545001,0.437449236,0.562550764,0.663454999,at least one
65-70,2015,woman,Czech Republic,0.293359133,0.706640867,0.254925985,0.331792281,0.668207719,0.745074015,at least one
70-75,2015,woman,Czech Republic,0.188539104,0.811460896,0.150975587,0.226102621,0.773897379,0.849024413,at least one
75-80,2015,woman,Czech Republic,0.165958981,0.834041019,0.121798033,0.210119928,0.789880072,0.878201967,at least one
80+,2015,woman,Czech Republic,0.119950117,0.880049883,0.076610761,0.163289474,0.836710526,0.923389239,at least one
50-55,2015,woman,Poland,0.708709696,0.291290304,0.613151539,0.804267854,0.195732146,0.386848461,at least one
55-60,2015,woman,Poland,0.563222991,0.436777009,0.470759069,0.655686913,0.344313087,0.529240931,at least one
60-65,2015,woman,Poland,0.318364406,0.681635594,0.266826012,0.369902799,0.630097201,0.733173988,at least one
65-70,2015,woman,Poland,0.269753296,0.730246704,0.146646411,0.392860181,0.607139819,0.853353589,at least one
70-75,2015,woman,Poland,0.134102317,0.865897683,0.118451545,0.149753089,0.850246911,0.881548455,at least one
75-80,2015,woman,Poland,0.04670747,0.95329253,0.014153028,0.079261913,0.920738087,0.985846972,at least one
80+,2015,woman,Poland,0.088180146,0.911819854,0.052151649,0.124208642,0.875791358,0.947848351,at least one
50-55,2015,woman,Luxembourg,0.584598468,0.415401532,0.506934,0.662262935,0.337737065,0.493066,at least one
55-60,2015,woman,Luxembourg,0.452014845,0.547985155,0.395410604,0.508619086,0.491380914,0.604589396,at least one
60-65,2015,woman,Luxembourg,0.333796062,0.666203938,0.261086559,0.406505564,0.593494436,0.738913441,at least one
65-70,2015,woman,Luxembourg,0.303524676,0.696475324,0.218639928,0.388409424,0.611590576,0.781360072,at least one
70-75,2015,woman,Luxembourg,0.288755427,0.711244573,0.196391302,0.381119552,0.618880448,0.803608698,at least one
75-80,2015,woman,Luxembourg,0.204319439,0.795680561,0.117420538,0.291218339,0.708781661,0.882579462,at least one
80+,2015,woman,Luxembourg,0.204015669,0.795984331,0.187614294,0.220417043,0.779582957,0.812385706,at least one
50-55,2015,woman,Portugal,0.677347645,0.322652355,0.464140041,0.890555248,0.109444752,0.535859959,at least one
55-60,2015,woman,Portugal,0.448762483,0.551237517,0.30024545,0.597279515,0.402720485,0.69975455,at least one
60-65,2015,woman,Portugal,0.40949699,0.59050301,0.247980704,0.571013276,0.428986724,0.752019296,at least one
65-70,2015,woman,Portugal,0.336390512,0.663609488,0.218974634,0.453806389,0.546193611,0.781025366,at least one
70-75,2015,woman,Portugal,0.207199518,0.792800482,0.107635686,0.306763349,0.693236651,0.892364314,at least one
75-80,2015,woman,Portugal,0.11213047,0.88786953,0.035581871,0.188679069,0.811320931,0.964418129,at least one
80+,2015,woman,Portugal,0.126720612,0.873279388,0.026858988,0.226582235,0.773417765,0.973141012,at least one
50-55,2015,woman,Slovenia,0.717093463,0.282906537,0.640515495,0.793671431,0.206328569,0.359484505,at least one
55-60,2015,woman,Slovenia,0.631215533,0.368784467,0.584069076,0.678361989,0.321638011,0.415930924,at least one
60-65,2015,woman,Slovenia,0.592623508,0.407376492,0.543177511,0.642069505,0.357930495,0.456822489,at least one
65-70,2015,woman,Slovenia,0.475232884,0.524767116,0.425065748,0.525400021,0.474599979,0.574934252,at least one
70-75,2015,woman,Slovenia,0.342742305,0.657257695,0.281782201,0.403702409,0.596297591,0.718217799,at least one
75-80,2015,woman,Slovenia,0.298843536,0.701156464,0.24429876,0.353388313,0.646611687,0.75570124,at least one
80+,2015,woman,Slovenia,0.255922721,0.744077279,0.20643991,0.305405531,0.694594469,0.79356009,at least one
50-55,2015,woman,Estonia,0.712173741,0.287826259,0.666027254,0.758320227,0.241679773,0.333972746,at least one
55-60,2015,woman,Estonia,0.478464786,0.521535214,0.452621792,0.504307779,0.495692221,0.547378208,at least one
60-65,2015,woman,Estonia,0.34686934,0.65313066,0.293229887,0.400508793,0.599491207,0.706770113,at least one
65-70,2015,woman,Estonia,0.283326352,0.716673648,0.240780544,0.325872161,0.674127839,0.759219456,at least one
70-75,2015,woman,Estonia,0.216234398,0.783765602,0.190098035,0.24237076,0.75762924,0.809901965,at least one
75-80,2015,woman,Estonia,0.175362931,0.824637069,0.167742779,0.182983084,0.817016916,0.832257221,at least one
80+,2015,woman,Estonia,0.120523807,0.879476193,0.111282408,0.129765206,0.870234794,0.888717592,at least one
50-55,2015,woman,Croatia,0.717566324,0.282433676,0.66793374,0.767198908,0.232801092,0.33206626,at least one
55-60,2015,woman,Croatia,0.6062484,0.3937516,0.537508972,0.674987828,0.325012172,0.462491028,at least one
60-65,2015,woman,Croatia,0.550962071,0.449037929,0.482884191,0.619039951,0.380960049,0.517115809,at least one
65-70,2015,woman,Croatia,0.47668517,0.52331483,0.409811091,0.543559249,0.456440751,0.590188909,at least one
70-75,2015,woman,Croatia,0.409956776,0.590043224,0.345665818,0.474247734,0.525752266,0.654334182,at least one
75-80,2015,woman,Croatia,0.244743263,0.755256737,0.142153989,0.347332537,0.652667463,0.857846011,at least one
80+,2015,woman,Croatia,0.286654185,0.713345815,0.209822046,0.363486323,0.636513677,0.790177954,at least one
50-55,2015,man,Austria,0.753674605,0.246325395,0.571554265,0.935794944,0.064205056,0.428445735,at least one
55-60,2015,man,Austria,0.651756905,0.348243095,0.568148496,0.735365314,0.264634686,0.431851504,at least one
60-65,2015,man,Austria,0.525813886,0.474186114,0.452412103,0.59921567,0.40078433,0.547587897,at least one
65-70,2015,man,Austria,0.402824419,0.597175581,0.342454051,0.463194788,0.536805212,0.657545949,at least one
70-75,2015,man,Austria,0.32630205,0.67369795,0.262469074,0.390135026,0.609864974,0.737530926,at least one
75-80,2015,man,Austria,0.348830857,0.651169143,0.27479682,0.422864895,0.577135105,0.72520318,at least one
80+,2015,man,Austria,0.209384054,0.790615946,0.138520798,0.280247309,0.719752691,0.861479202,at least one
50-55,2015,man,Germany,0.571787254,0.428212746,0.501615123,0.641959384,0.358040616,0.498384877,at least one
55-60,2015,man,Germany,0.496921175,0.503078825,0.433290307,0.560552043,0.439447957,0.566709693,at least one
60-65,2015,man,Germany,0.44332718,0.55667282,0.384783377,0.501870983,0.498129017,0.615216623,at least one
65-70,2015,man,Germany,0.380362813,0.619637187,0.326495782,0.434229844,0.565770156,0.673504218,at least one
70-75,2015,man,Germany,0.281398656,0.718601344,0.229072485,0.333724827,0.666275173,0.770927515,at least one
75-80,2015,man,Germany,0.226627474,0.773372526,0.175840047,0.277414901,0.722585099,0.824159953,at least one
80+,2015,man,Germany,0.151507951,0.848492049,0.096386274,0.206629628,0.793370372,0.903613726,at least one
50-55,2015,man,Sweden,0.817416922,0.182583078,0.753259889,0.881573956,0.118426044,0.246740111,at least one
55-60,2015,man,Sweden,0.673948262,0.326051738,0.595019559,0.752876965,0.247123035,0.404980441,at least one
60-65,2015,man,Sweden,0.592771781,0.407228219,0.533158603,0.652384959,0.347615041,0.466841397,at least one
65-70,2015,man,Sweden,0.467370276,0.532629724,0.411502351,0.523238202,0.476761798,0.588497649,at least one
70-75,2015,man,Sweden,0.388349027,0.611650973,0.335390472,0.441307581,0.558692419,0.664609528,at least one
75-80,2015,man,Sweden,0.26829859,0.73170141,0.220803758,0.315793422,0.684206578,0.779196242,at least one
80+,2015,man,Sweden,0.248204974,0.751795026,0.191221876,0.305188072,0.694811928,0.808778124,at least one
50-55,2015,man,Spain,0.744587414,0.255412586,0.54863436,0.940540467,0.059459533,0.45136564,at least one
55-60,2015,man,Spain,0.560271062,0.439728938,0.452666511,0.667875613,0.332124387,0.547333489,at least one
60-65,2015,man,Spain,0.511028374,0.488971626,0.435114844,0.586941904,0.413058096,0.564885156,at least one
65-70,2015,man,Spain,0.326997547,0.673002453,0.263456107,0.390538986,0.609461014,0.736543893,at least one
70-75,2015,man,Spain,0.30188296,0.69811704,0.239242854,0.364523067,0.635476933,0.760757146,at least one
75-80,2015,man,Spain,0.180344242,0.819655758,0.123907203,0.236781281,0.763218719,0.876092797,at least one
80+,2015,man,Spain,0.123199292,0.876800708,0.080532011,0.165866574,0.834133426,0.919467989,at least one
50-55,2015,man,Italy,0.806948246,0.193051754,0.741386835,0.872509656,0.127490344,0.258613165,at least one
55-60,2015,man,Italy,0.696369497,0.303630503,0.637546873,0.755192122,0.244807878,0.362453127,at least one
60-65,2015,man,Italy,0.566788157,0.433211843,0.512875153,0.620701162,0.379298838,0.487124847,at least one
65-70,2015,man,Italy,0.484416498,0.515583502,0.434490881,0.534342116,0.465657884,0.565509119,at least one
70-75,2015,man,Italy,0.322962144,0.677037856,0.268264528,0.377659761,0.622340239,0.731735472,at least one
75-80,2015,man,Italy,0.285028488,0.714971512,0.230626023,0.339430952,0.660569048,0.769373977,at least one
80+,2015,man,Italy,0.206284154,0.793715846,0.153946036,0.258622273,0.741377727,0.846053964,at least one
50-55,2015,man,France,0.70109446,0.29890554,0.630879287,0.771309633,0.228690367,0.369120713,at least one
55-60,2015,man,France,0.580136378,0.419863622,0.509690175,0.650582582,0.349417418,0.490309825,at least one
60-65,2015,man,France,0.381315044,0.618684956,0.307575898,0.455054189,0.544945811,0.692424102,at least one
65-70,2015,man,France,0.324971328,0.675028672,0.275281175,0.374661481,0.625338519,0.724718825,at least one
70-75,2015,man,France,0.235959584,0.764040416,0.181694768,0.2902244,0.7097756,0.818305232,at least one
75-80,2015,man,France,0.216618715,0.783381285,0.161304815,0.271932614,0.728067386,0.838695185,at least one
80+,2015,man,France,0.108720083,0.891279917,0.066259272,0.151180894,0.848819106,0.933740728,at least one
50-55,2015,man,Denmark,0.687331647,0.312668353,0.617365219,0.757298076,0.242701924,0.382634781,at least one
55-60,2015,man,Denmark,0.543530497,0.456469503,0.456571842,0.630489152,0.369510848,0.543428158,at least one
60-65,2015,man,Denmark,0.449914582,0.550085418,0.410428304,0.489400861,0.510599139,0.589571696,at least one
65-70,2015,man,Denmark,0.370389545,0.629610455,0.356608769,0.38417032,0.61582968,0.643391231,at least one
70-75,2015,man,Denmark,0.291725687,0.708274313,0.173488149,0.409963226,0.590036774,0.826511851,at least one
75-80,2015,man,Denmark,0.266151501,0.733848499,0.237072913,0.29523009,0.70476991,0.762927087,at least one
80+,2015,man,Denmark,0.228910536,0.771089464,0.196036793,0.261784278,0.738215722,0.803963207,at least one
50-55,2015,man,Greece,0.849552207,0.150447793,0.803834358,0.895270056,0.104729944,0.196165642,at least one
55-60,2015,man,Greece,0.788473094,0.211526906,0.737087445,0.839858743,0.160141257,0.262912555,at least one
60-65,2015,man,Greece,0.722459473,0.277540527,0.674879248,0.770039697,0.229960303,0.325120752,at least one
65-70,2015,man,Greece,0.611526977,0.388473023,0.561773425,0.661280529,0.338719471,0.438226575,at least one
70-75,2015,man,Greece,0.541604305,0.458395695,0.489346953,0.593861656,0.406138344,0.510653047,at least one
75-80,2015,man,Greece,0.407529574,0.592470426,0.345964598,0.46909455,0.53090545,0.654035402,at least one
80+,2015,man,Greece,0.346102007,0.653897993,0.291137027,0.401066988,0.598933012,0.708862973,at least one
50-55,2015,man,Switzerland,0.64277627,0.35722373,0.476549655,0.809002884,0.190997116,0.523450345,at least one
55-60,2015,man,Switzerland,0.644360497,0.355639503,0.587032598,0.701688396,0.298311604,0.412967402,at least one
60-65,2015,man,Switzerland,0.579479524,0.420520476,0.501595089,0.657363958,0.342636042,0.498404911,at least one
65-70,2015,man,Switzerland,0.459149894,0.540850106,0.40220439,0.516095398,0.483904602,0.59779561,at least one
70-75,2015,man,Switzerland,0.390937034,0.609062966,0.336990717,0.444883351,0.555116649,0.663009283,at least one
75-80,2015,man,Switzerland,0.338593384,0.661406616,0.267230517,0.409956252,0.590043748,0.732769483,at least one
80+,2015,man,Switzerland,0.257226069,0.742773931,0.201422004,0.313030134,0.686969866,0.798577996,at least one
50-55,2015,man,Belgium,0.605080907,0.394919093,0.518933094,0.691228721,0.308771279,0.481066906,at least one
55-60,2015,man,Belgium,0.543118818,0.456881182,0.466275652,0.619961984,0.380038016,0.533724348,at least one
60-65,2015,man,Belgium,0.410001702,0.589998298,0.364951544,0.455051861,0.544948139,0.635048456,at least one
65-70,2015,man,Belgium,0.340131038,0.659868962,0.292183728,0.388078348,0.611921652,0.707816272,at least one
70-75,2015,man,Belgium,0.294549786,0.705450214,0.241341849,0.347757723,0.652242277,0.758658151,at least one
75-80,2015,man,Belgium,0.258575901,0.741424099,0.200880503,0.316271299,0.683728701,0.799119497,at least one
80+,2015,man,Belgium,0.203971238,0.796028762,0.160258089,0.247684386,0.752315614,0.839741911,at least one
50-55,2015,man,Israel,0.794052022,0.205947978,0.595750714,0.99235333,0.00764667,0.404249286,at least one
55-60,2015,man,Israel,0.772667438,0.227332562,0.639516598,0.905818278,0.094181722,0.360483402,at least one
60-65,2015,man,Israel,0.436826428,0.563173572,0.334289062,0.539363794,0.460636206,0.665710938,at least one
65-70,2015,man,Israel,0.364104858,0.635895142,0.270664486,0.45754523,0.54245477,0.729335514,at least one
70-75,2015,man,Israel,0.262606937,0.737393063,0.164283304,0.360930569,0.639069431,0.835716696,at least one
75-80,2015,man,Israel,0.280901035,0.719098965,0.183460665,0.378341405,0.621658595,0.816539335,at least one
80+,2015,man,Israel,0.15061667,0.84938333,0.092271687,0.208961654,0.791038346,0.907728313,at least one
50-55,2015,man,Czech Republic,0.519136224,0.480863776,0.353479016,0.684793432,0.315206568,0.646520984,at least one
55-60,2015,man,Czech Republic,0.431621784,0.568378216,0.353282206,0.509961362,0.490038638,0.646717794,at least one
60-65,2015,man,Czech Republic,0.406867983,0.593132017,0.344046878,0.469689089,0.530310911,0.655953122,at least one
65-70,2015,man,Czech Republic,0.321331259,0.678668741,0.276538479,0.366124038,0.633875962,0.723461521,at least one
70-75,2015,man,Czech Republic,0.220704085,0.779295915,0.165874252,0.275533918,0.724466082,0.834125748,at least one
75-80,2015,man,Czech Republic,0.141640831,0.858359169,0.091723522,0.191558141,0.808441859,0.908276478,at least one
80+,2015,man,Czech Republic,0.176358923,0.823641077,0.092337104,0.260380741,0.739619259,0.907662896,at least one
50-55,2015,man,Poland,0.792879854,0.207120146,0.69421075,0.891548958,0.108451042,0.30578925,at least one
55-60,2015,man,Poland,0.536450645,0.463549355,0.431848232,0.641053057,0.358946943,0.568151768,at least one
60-65,2015,man,Poland,0.383029977,0.616970023,0.335692522,0.430367431,0.569632569,0.664307478,at least one
65-70,2015,man,Poland,0.28942047,0.71057953,0.201871302,0.376969638,0.623030362,0.798128698,at least one
70-75,2015,man,Poland,0.133555748,0.866444252,0.051795589,0.215315907,0.784684093,0.948204411,at least one
75-80,2015,man,Poland,0.13662205,0.86337795,0.098310355,0.174933745,0.825066255,0.901689645,at least one
80+,2015,man,Poland,0.178106722,0.821893278,0.101941864,0.25427158,0.74572842,0.898058136,at least one
50-55,2015,man,Luxembourg,0.83829113,0.16170887,0.727020199,0.949562061,0.050437939,0.272979801,at least one
55-60,2015,man,Luxembourg,0.534648467,0.465351533,0.453225081,0.616071853,0.383928147,0.546774919,at least one
60-65,2015,man,Luxembourg,0.418024867,0.581975133,0.340069542,0.495980192,0.504019808,0.659930458,at least one
65-70,2015,man,Luxembourg,0.456190032,0.543809968,0.363173184,0.549206879,0.450793121,0.636826816,at least one
70-75,2015,man,Luxembourg,0.271154537,0.728845463,0.197637635,0.344671439,0.655328561,0.802362365,at least one
75-80,2015,man,Luxembourg,0.216355942,0.783644058,0.108489013,0.324222871,0.675777129,0.891510987,at least one
80+,2015,man,Luxembourg,0.207221005,0.792778995,0.14365826,0.270783749,0.729216251,0.85634174,at least one
50-55,2015,man,Portugal,0.768957733,0.231042267,0.452262361,1.085653105,-0.085653105,0.547737639,at least one
55-60,2015,man,Portugal,0.730191537,0.269808463,0.57247473,0.887908343,0.112091657,0.42752527,at least one
60-65,2015,man,Portugal,0.661745801,0.338254199,0.543594452,0.77989715,0.22010285,0.456405548,at least one
65-70,2015,man,Portugal,0.435935852,0.564064148,0.287706663,0.584165041,0.415834959,0.712293337,at least one
70-75,2015,man,Portugal,0.37918436,0.62081564,0.234442862,0.523925858,0.476074142,0.765557138,at least one
75-80,2015,man,Portugal,0.306308215,0.693691785,0.11301819,0.49959824,0.50040176,0.88698181,at least one
80+,2015,man,Portugal,0.115216859,0.884783141,0.032915456,0.197518261,0.802481739,0.967084544,at least one
50-55,2015,man,Slovenia,0.799441466,0.200558534,0.719835863,0.879047068,0.120952932,0.280164137,at least one
55-60,2015,man,Slovenia,0.673144836,0.326855164,0.620462777,0.725826895,0.274173105,0.379537223,at least one
60-65,2015,man,Slovenia,0.521178466,0.478821534,0.466971173,0.575385759,0.424614241,0.533028827,at least one
65-70,2015,man,Slovenia,0.447374595,0.552625405,0.394415146,0.500334045,0.499665955,0.605584854,at least one
70-75,2015,man,Slovenia,0.43732437,0.56267563,0.376731833,0.497916908,0.502083092,0.623268167,at least one
75-80,2015,man,Slovenia,0.335189162,0.664810838,0.262668971,0.407709352,0.592290648,0.737331029,at least one
80+,2015,man,Slovenia,0.305658819,0.694341181,0.240888604,0.370429035,0.629570965,0.759111396,at least one
50-55,2015,man,Estonia,0.742960704,0.257039296,0.687762591,0.798158817,0.201841183,0.312237409,at least one
55-60,2015,man,Estonia,0.50718027,0.49281973,0.463613385,0.550747155,0.449252845,0.536386615,at least one
60-65,2015,man,Estonia,0.416240163,0.583759837,0.397816712,0.434663614,0.565336386,0.602183288,at least one
65-70,2015,man,Estonia,0.286813902,0.713186098,0.244473464,0.32915434,0.67084566,0.755526536,at least one
70-75,2015,man,Estonia,0.255772449,0.744227551,0.232346532,0.279198366,0.720801634,0.767653468,at least one
75-80,2015,man,Estonia,0.265288589,0.734711411,0.245813361,0.284763818,0.715236182,0.754186639,at least one
80+,2015,man,Estonia,0.134155171,0.865844829,0.094318813,0.173991529,0.826008471,0.905681187,at least one
50-55,2015,man,Croatia,0.787635348,0.212364652,0.710250144,0.865020552,0.134979448,0.289749856,at least one
55-60,2015,man,Croatia,0.679128285,0.320871715,0.597048653,0.761207918,0.238792082,0.402951347,at least one
60-65,2015,man,Croatia,0.634112734,0.365887266,0.566099098,0.70212637,0.29787363,0.433900902,at least one
65-70,2015,man,Croatia,0.487269649,0.512730351,0.410295795,0.564243503,0.435756497,0.589704205,at least one
70-75,2015,man,Croatia,0.423538319,0.576461681,0.352030126,0.495046513,0.504953487,0.647969874,at least one
75-80,2015,man,Croatia,0.411412568,0.588587432,0.300609195,0.522215941,0.477784059,0.699390805,at least one
80+,2015,man,Croatia,0.462333045,0.537666955,0.34040336,0.58426273,0.41573727,0.65959664,at least one
50-55,2015,woman,Austria,0.983073759,0.016926241,0.950014538,1.01613298,-0.01613298,0.049985462,adl
55-60,2015,woman,Austria,0.950523295,0.049476705,0.919975493,0.981071097,0.018928903,0.080024507,adl
60-65,2015,woman,Austria,0.956985888,0.043014112,0.928306743,0.985665033,0.014334967,0.071693257,adl
65-70,2015,woman,Austria,0.960941729,0.039058271,0.93899722,0.982886238,0.017113762,0.06100278,adl
