age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy,type
50-55,2015,woman,0.662930419,0.337069581,0.632579083,0.693281755,0.306718245,0.367420917,at least one
55-60,2015,woman,0.532983907,0.467016093,0.505974231,0.559993584,0.440006416,0.494025769,at least one
60-65,2015,woman,0.407327762,0.592672238,0.384192494,0.43046303,0.56953697,0.615807506,at least one
65-70,2015,woman,0.307874931,0.692125069,0.285221159,0.330528704,0.669471296,0.714778841,at least one
70-75,2015,woman,0.255772037,0.744227963,0.231167039,0.280377035,0.719622965,0.768832961,at least one
75-80,2015,woman,0.181962995,0.818037005,0.155315987,0.208610003,0.791389997,0.844684013,at least one
80+,2015,woman,0.119562217,0.880437783,0.103821994,0.13530244,0.86469756,0.896178006,at least one
50-55,2015,man,0.712586532,0.287413468,0.680070975,0.74510209,0.25489791,0.319929025,at least one
55-60,2015,man,0.579727643,0.420272357,0.54891117,0.610544116,0.389455884,0.45108883,at least one
60-65,2015,man,0.474589872,0.525410128,0.450035753,0.499143991,0.500856009,0.549964247,at least one
65-70,2015,man,0.386885126,0.613114874,0.363128246,0.410642006,0.589357994,0.636871754,at least one
70-75,2015,man,0.292769562,0.707230438,0.267628744,0.31791038,0.68208962,0.732371256,at least one
75-80,2015,man,0.240025437,0.759974563,0.217186544,0.262864329,0.737135671,0.782813456,at least one
80+,2015,man,0.171270442,0.828729558,0.151020667,0.191520217,0.808479783,0.848979333,at least one
50-55,2015,woman,0.950124214,0.049875786,0.936420235,0.963828193,0.036171807,0.063579765,adl
55-60,2015,woman,0.93165049,0.06834951,0.917540632,0.945760347,0.054239653,0.082459368,adl
60-65,2015,woman,0.929163804,0.070836196,0.919014352,0.939313256,0.060686744,0.080985648,adl
65-70,2015,woman,0.913060554,0.086939446,0.901429699,0.924691408,0.075308592,0.098570301,adl
70-75,2015,woman,0.874614203,0.125385797,0.858434149,0.890794257,0.109205743,0.141565851,adl
75-80,2015,woman,0.804968004,0.195031996,0.783200829,0.82673518,0.17326482,0.216799171,adl
80+,2015,woman,0.608253995,0.391746005,0.584485521,0.632022469,0.367977531,0.415514479,adl
50-55,2015,man,0.948322252,0.051677748,0.9339512,0.962693304,0.037306696,0.0660488,adl
55-60,2015,man,0.943956715,0.056043285,0.929498347,0.958415083,0.041584917,0.070501653,adl
