age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
75-80,2015,woman,Greece,0.28899739,0.71100261,0.235278371,0.342716409,0.657283591,0.764721629
80+,2015,woman,Greece,0.252256292,0.747743708,0.203366167,0.301146417,0.698853583,0.796633833
50-55,2015,woman,Switzerland,0.675941059,0.324058941,0.568337819,0.783544299,0.216455701,0.431662181
55-60,2015,woman,Switzerland,0.580603106,0.419396894,0.514131859,0.647074354,0.352925646,0.485868141
60-65,2015,woman,Switzerland,0.530878323,0.469121677,0.455626433,0.606130213,0.393869787,0.544373567
65-70,2015,woman,Switzerland,0.362898285,0.637101715,0.31586151,0.40993506,0.59006494,0.68413849
70-75,2015,woman,Switzerland,0.385799315,0.614200685,0.314222943,0.457375687,0.542624313,0.685777057
75-80,2015,woman,Switzerland,0.306179268,0.693820732,0.228109004,0.384249533,0.615750467,0.771890996
80+,2015,woman,Switzerland,0.223608654,0.776391346,0.164919702,0.282297606,0.717702394,0.835080298
50-55,2015,woman,Belgium,0.577718938,0.422281062,0.497812659,0.657625218,0.342374782,0.502187341
55-60,2015,woman,Belgium,0.448959719,0.551040281,0.381919844,0.515999593,0.484000407,0.618080156
60-65,2015,woman,Belgium,0.376406265,0.623593735,0.331448187,0.421364344,0.578635656,0.668551813
65-70,2015,woman,Belgium,0.291644306,0.708355694,0.250285287,0.333003326,0.666996674,0.749714713
70-75,2015,woman,Belgium,0.264416986,0.735583014,0.213279039,0.315554933,0.684445067,0.786720961
75-80,2015,woman,Belgium,0.151568577,0.848431423,0.10749939,0.195637765,0.804362235,0.89250061
80+,2015,woman,Belgium,0.146739205,0.853260795,0.112119258,0.181359152,0.818640848,0.887880742
50-55,2015,woman,Israel,0.753083454,0.246916546,0.439268888,1.066898019,-0.066898019,0.560731112
55-60,2015,woman,Israel,0.625006379,0.374993621,0.49494841,0.755064349,0.244935651,0.50505159
60-65,2015,woman,Israel,0.52718091,0.47281909,0.431253057,0.623108763,0.376891237,0.568746943
65-70,2015,woman,Israel,0.421127007,0.578872993,0.332407802,0.509846213,0.490153787,0.667592198
70-75,2015,woman,Israel,0.298433373,0.701566627,0.214070473,0.382796273,0.617203727,0.785929527
75-80,2015,woman,Israel,0.213745626,0.786254374,0.137779179,0.289712072,0.710287928,0.862220821
80+,2015,woman,Israel,0.219759372,0.780240628,0.146002023,0.293516722,0.706483278,0.853997977
50-55,2015,woman,Czech Republic,0.607082066,0.392917934,0.450386885,0.763777247,0.236222753,0.549613115
55-60,2015,woman,Czech Republic,0.509702479,0.490297521,0.448347006,0.571057952,0.428942048,0.551652994
60-65,2015,woman,Czech Republic,0.386997119,0.613002881,0.336545001,0.437449236,0.562550764,0.663454999
65-70,2015,woman,Czech Republic,0.293359133,0.706640867,0.254925985,0.331792281,0.668207719,0.745074015
70-75,2015,woman,Czech Republic,0.188539104,0.811460896,0.150975587,0.226102621,0.773897379,0.849024413
75-80,2015,woman,Czech Republic,0.165958981,0.834041019,0.121798033,0.210119928,0.789880072,0.878201967
80+,2015,woman,Czech Republic,0.119950117,0.880049883,0.076610761,0.163289474,0.836710526,0.923389239
50-55,2015,woman,Poland,0.708709696,0.291290304,0.613151539,0.804267854,0.195732146,0.386848461
55-60,2015,woman,Poland,0.563222991,0.436777009,0.470759069,0.655686913,0.344313087,0.529240931
60-65,2015,woman,Poland,0.318364406,0.681635594,0.266826012,0.369902799,0.630097201,0.733173988
65-70,2015,woman,Poland,0.269753296,0.730246704,0.146646411,0.392860181,0.607139819,0.853353589
70-75,2015,woman,Poland,0.134102317,0.865897683,0.118451545,0.149753089,0.850246911,0.881548455
75-80,2015,woman,Poland,0.04670747,0.95329253,0.014153028,0.079261913,0.920738087,0.985846972
80+,2015,woman,Poland,0.088180146,0.911819854,0.052151649,0.124208642,0.875791358,0.947848351
50-55,2015,woman,Luxembourg,0.584598468,0.415401532,0.506934,0.662262935,0.337737065,0.493066
55-60,2015,woman,Luxembourg,0.452014845,0.547985155,0.395410604,0.508619086,0.491380914,0.604589396
60-65,2015,woman,Luxembourg,0.333796062,0.666203938,0.261086559,0.406505564,0.593494436,0.738913441
65-70,2015,woman,Luxembourg,0.303524676,0.696475324,0.218639928,0.388409424,0.611590576,0.781360072
70-75,2015,woman,Luxembourg,0.288755427,0.711244573,0.196391302,0.381119552,0.618880448,0.803608698
75-80,2015,woman,Luxembourg,0.204319439,0.795680561,0.117420538,0.291218339,0.708781661,0.882579462
80+,2015,woman,Luxembourg,0.204015669,0.795984331,0.187614294,0.220417043,0.779582957,0.812385706
50-55,2015,woman,Portugal,0.677347645,0.322652355,0.464140041,0.890555248,0.109444752,0.535859959
55-60,2015,woman,Portugal,0.448762483,0.551237517,0.30024545,0.597279515,0.402720485,0.69975455
60-65,2015,woman,Portugal,0.40949699,0.59050301,0.247980704,0.571013276,0.428986724,0.752019296
65-70,2015,woman,Portugal,0.336390512,0.663609488,0.218974634,0.453806389,0.546193611,0.781025366
70-75,2015,woman,Portugal,0.207199518,0.792800482,0.107635686,0.306763349,0.693236651,0.892364314
75-80,2015,woman,Portugal,0.11213047,0.88786953,0.035581871,0.188679069,0.811320931,0.964418129
80+,2015,woman,Portugal,0.126720612,0.873279388,0.026858988,0.226582235,0.773417765,0.973141012
50-55,2015,woman,Slovenia,0.717093463,0.282906537,0.640515495,0.793671431,0.206328569,0.359484505
55-60,2015,woman,Slovenia,0.631215533,0.368784467,0.584069076,0.678361989,0.321638011,0.415930924
60-65,2015,woman,Slovenia,0.592623508,0.407376492,0.543177511,0.642069505,0.357930495,0.456822489
65-70,2015,woman,Slovenia,0.475232884,0.524767116,0.425065748,0.525400021,0.474599979,0.574934252
70-75,2015,woman,Slovenia,0.342742305,0.657257695,0.281782201,0.403702409,0.596297591,0.718217799
75-80,2015,woman,Slovenia,0.298843536,0.701156464,0.24429876,0.353388313,0.646611687,0.75570124
80+,2015,woman,Slovenia,0.255922721,0.744077279,0.20643991,0.305405531,0.694594469,0.79356009
50-55,2015,woman,Estonia,0.712173741,0.287826259,0.666027254,0.758320227,0.241679773,0.333972746
