age,year,gender,country,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
55-60,2015,woman,Spain,0.054191456,0.945808544,4.34101E-05,0.108339503,0.891660497,0.99995659
60-65,2015,woman,Spain,0.067140446,0.932859554,0.034113634,0.100167258,0.899832742,0.965886366
65-70,2015,woman,Spain,0.068221563,0.931778437,0.036895723,0.099547403,0.900452597,0.963104277
70-75,2015,woman,Spain,0.128840674,0.871159326,0.083094495,0.174586852,0.825413148,0.916905505
75-80,2015,woman,Spain,0.155923163,0.844076837,0.106196577,0.205649749,0.794350251,0.893803423
80+,2015,woman,Spain,0.392972128,0.607027872,0.340803723,0.445140532,0.554859468,0.659196277
50-55,2015,woman,Italy,0.050146752,0.949853248,0.010084698,0.090208805,0.909791195,0.989915302
55-60,2015,woman,Italy,0.03001206,0.96998794,0.014352568,0.045671552,0.954328448,0.985647432
60-65,2015,woman,Italy,0.045766179,0.954233821,0.025147047,0.066385311,0.933614689,0.974852953
65-70,2015,woman,Italy,0.095356008,0.904643992,0.066389185,0.12432283,0.87567717,0.933610815
70-75,2015,woman,Italy,0.110961648,0.889038352,0.076725291,0.145198005,0.854801995,0.923274709
75-80,2015,woman,Italy,0.197413578,0.802586422,0.150000082,0.244827074,0.755172926,0.849999918
80+,2015,woman,Italy,0.430203747,0.569796253,0.37256571,0.487841785,0.512158215,0.62743429
50-55,2015,woman,France,0.069847827,0.930152173,0.032209639,0.107486014,0.892513986,0.967790361
55-60,2015,woman,France,0.07192212,0.92807788,0.039329534,0.104514705,0.895485295,0.960670466
60-65,2015,woman,France,0.105814868,0.894185132,0.065612633,0.146017102,0.853982898,0.934387367
65-70,2015,woman,France,0.064804754,0.935195246,0.034259611,0.095349897,0.904650103,0.965740389
70-75,2015,woman,France,0.111310781,0.888689219,0.069483925,0.153137637,0.846862363,0.930516075
75-80,2015,woman,France,0.20804803,0.79195197,0.156827806,0.259268254,0.740731746,0.843172194
80+,2015,woman,France,0.404478643,0.595521357,0.358122951,0.450834336,0.549165664,0.641877049
50-55,2015,woman,Denmark,0.067288187,0.932711813,0.048796758,0.085779616,0.914220384,0.951203242
55-60,2015,woman,Denmark,0.043995138,0.956004862,0.018150139,0.069840138,0.930159862,0.981849861
60-65,2015,woman,Denmark,0.025366801,0.974633199,0.01351432,0.037219281,0.962780719,0.98648568
65-70,2015,woman,Denmark,0.065230199,0.934769801,0.038786677,0.091673721,0.908326279,0.961213323
70-75,2015,woman,Denmark,0.080547505,0.919452495,0.07441145,0.086683561,0.913316439,0.92558855
75-80,2015,woman,Denmark,0.114922087,0.885077913,0.101558394,0.12828578,0.87171422,0.898441606
80+,2015,woman,Denmark,0.230056843,0.769943157,0.158565518,0.301548168,0.698451832,0.841434482
50-55,2015,woman,Greece,0.019899207,0.980100793,0.002124852,0.037673563,0.962326437,0.997875148
55-60,2015,woman,Greece,0.032267337,0.967732663,0.00825291,0.056281764,0.943718236,0.99174709
60-65,2015,woman,Greece,0.049492863,0.950507137,0.027556498,0.071429228,0.928570772,0.972443502
65-70,2015,woman,Greece,0.041996565,0.958003435,0.021361787,0.062631342,0.937368658,0.978638213
70-75,2015,woman,Greece,0.084965203,0.915034797,0.047650922,0.122279485,0.877720515,0.952349078
75-80,2015,woman,Greece,0.184466474,0.815533526,0.141528251,0.227404696,0.772595304,0.858471749
80+,2015,woman,Greece,0.268664746,0.731335254,0.22514833,0.312181162,0.687818838,0.77485167
50-55,2015,woman,Switzerland,0,1,0,0,1,1
55-60,2015,woman,Switzerland,0.039896489,0.960103511,0.019279201,0.060513776,0.939486224,0.980720799
60-65,2015,woman,Switzerland,0.025511282,0.974488718,0.006622119,0.044400444,0.955599556,0.993377881
65-70,2015,woman,Switzerland,0.054310873,0.945689127,0.02331954,0.085302206,0.914697794,0.97668046
70-75,2015,woman,Switzerland,0.029251461,0.970748539,0.006740165,0.051762756,0.948237244,0.993259835
75-80,2015,woman,Switzerland,0.119169505,0.880830495,0.079495631,0.158843378,0.841156622,0.920504369
80+,2015,woman,Switzerland,0.226653732,0.773346268,0.151355947,0.301951517,0.698048483,0.848644053
50-55,2015,woman,Belgium,0.098648139,0.901351861,0.058211338,0.139084941,0.860915059,0.941788662
