age,sex,mx,qx,lx,dx,ex,
79,woman,0.034386,0.033805,72660.1,2456.3,10.38,
80,woman,0.039667,0.038896,70203.8,2730.6,9.72,
81,woman,0.045172,0.044175,67473.1,2980.6,9.10,
82,woman,0.051316,0.050033,64492.5,3226.7,8.49,
83,woman,0.058952,0.057264,61265.8,3508.3,7.91,
84,woman,0.067411,0.065213,57757.5,3766.5,7.36,
85,woman,0.076054,0.073268,53991.0,3955.8,6.84,
86,woman,0.087036,0.083406,50035.2,4173.2,6.34,
87,woman,0.100053,0.095286,45861.9,4370.0,5.88,
88,woman,0.112621,0.106618,41491.9,4423.8,5.44,
89,woman,0.128888,0.121084,37068.2,4488.4,5.03,
90,woman,0.144790,0.135015,32579.8,4398.8,4.66,
91,woman,0.160454,0.148537,28181.0,4185.9,4.31,
92,woman,0.182069,0.166877,23995.1,4004.2,3.97,
93,woman,0.203182,0.184444,19990.9,3687.2,3.66,
94,woman,0.224481,0.201827,16303.7,3290.5,3.38,
95,woman,0.253112,0.224678,13013.1,2923.8,3.11,
96,woman,0.284547,0.249106,10089.4,2513.3,2.86,
97,woman,0.320908,0.276537,7576.0,2095.1,2.65,
98,woman,0.348669,0.296908,5481.0,1627.3,2.47,
99,woman,0.378817,0.318492,3853.6,1227.4,2.30,
100,woman,0.405834,0.337375,2626.3,886,2.14,
