"","age","year","gender","unhealthy","healthy","CI_low_unhealthy","CI_up_unhealthy","CI_low_healthy","CI_up_healthy"
"1",50,"2014","man",0.0451277263188748,0.954872273681125,0.0212654717899611,0.0689899808477884,0.931010019152212,0.978734528210039
"2",51,"2014","man",0.0475109119116787,0.952489088088321,0.0269274597300444,0.068094364093313,0.931905635906687,0.973072540269956
"3",52,"2014","man",0.0664430086360909,0.933556991363909,0.042632367301223,0.0902536499709588,0.909746350029041,0.957367632698777
"4",53,"2014","man",0.0498730705328509,0.950126929467149,0.0255589800947275,0.0741871609709742,0.925812839029026,0.974441019905272
"5",54,"2014","man",0.0822131128441802,0.91778688715582,0.0381538278931361,0.126272397795224,0.873727602204776,0.961846172106864
"6",55,"2014","man",0.0848874938888599,0.91511250611114,0.0481410900922737,0.121633897685446,0.878366102314554,0.951858909907726
"7",56,"2014","man",0.103364536732773,0.896635463267227,0.0657984892872381,0.140930584178308,0.859069415821692,0.934201510712762
"8",57,"2014","man",0.0699016400013525,0.930098359998648,0.0434236462098128,0.0963796337928922,0.903620366207108,0.956576353790187
"9",58,"2014","man",0.0991385133669267,0.900861486633073,0.0684106509716071,0.129866375762246,0.870133624237754,0.931589349028393
"10",59,"2014","man",0.0937623340548086,0.906237665945191,0.0600321138273003,0.127492554282317,0.872507445717683,0.9399678861727
"11",60,"2014","man",0.145452702048064,0.854547297951936,0.101648929872991,0.189256474223138,0.810743525776862,0.898351070127009
"12",61,"2014","man",0.10773713122653,0.89226286877347,0.0716579482746938,0.143816314178366,0.856183685821634,0.928342051725306
"13",62,"2014","man",0.158893787308307,0.841106212691693,0.117024091972737,0.200763482643878,0.799236517356122,0.882975908027263
"14",63,"2014","man",0.153780389762952,0.846219610237048,0.108161993989832,0.199398785536072,0.800601214463928,0.891838006010168
"15",64,"2014","man",0.14729442402248,0.85270557597752,0.0970614680898864,0.197527379955074,0.802472620044926,0.902938531910114
"16",65,"2014","man",0.174154645195162,0.825845354804838,0.131457401551203,0.216851888839121,0.783148111160879,0.868542598448798
"17",66,"2014","man",0.18224184269645,0.81775815730355,0.136219154881671,0.22826453051123,0.77173546948877,0.863780845118329
"18",67,"2014","man",0.217545119686229,0.782454880313771,0.152839221971876,0.282251017400581,0.717748982599419,0.847160778028124
"19",68,"2014","man",0.165053928438108,0.834946071561892,0.114516979324489,0.215590877551727,0.784409122448273,0.885483020675511
"20",69,"2014","man",0.134093245577988,0.865906754422012,0.0798882022622028,0.188298288893773,0.811701711106227,0.920111797737797
"21",70,"2014","man",0.21863156713585,0.78136843286415,0.158637154049575,0.278625980222124,0.721374019777876,0.841362845950425
"22",71,"2014","man",0.28531719062218,0.71468280937782,0.150521872993022,0.420112508251338,0.579887491748662,0.849478127006978
"23",72,"2014","man",0.186624131293073,0.813375868706927,0.115530599703046,0.257717662883099,0.742282337116901,0.884469400296954
"24",73,"2014","man",0.269288895331122,0.730711104668878,0.196854520461717,0.341723270200528,0.658276729799472,0.803145479538283
"25",74,"2014","man",0.268225645750852,0.731774354249148,0.18375374638622,0.352697545115483,0.647302454884517,0.81624625361378
"26",75,"2014","man",0.256284586851876,0.743715413148124,0.178373291769168,0.334195881934584,0.665804118065416,0.821626708230833
"27",76,"2014","man",0.33135680190474,0.66864319809526,0.233081880069941,0.42963172373954,0.57036827626046,0.766918119930059
"28",77,"2014","man",0.344665509592452,0.655334490407548,0.202894961728592,0.486436057456312,0.513563942543688,0.797105038271408
"29",78,"2014","man",0.280790845523195,0.719209154476805,0.183534354108854,0.378047336937535,0.621952663062465,0.816465645891146
"30",79,"2014","man",0.341527977280639,0.658472022719361,0.2236315076843,0.459424446876977,0.540575553123023,0.7763684923157
"31",80,"2014","man",0.330381760464897,0.669618239535103,0.184509072215648,0.476254448714146,0.523745551285854,0.815490927784352
"32",81,"2014","man",0.233777100536622,0.766222899463378,0.110796316255109,0.356757884818134,0.643242115181866,0.889203683744891
"33",82,"2014","man",0.159151816641045,0.840848183358955,0.0125786880312811,0.305724945250809,0.694275054749191,0.987421311968719
"34",83,"2014","man",0.45675960615397,0.54324039384603,0.294440033949441,0.619079178358499,0.380920821641501,0.705559966050559
"35",84,"2014","man",0.422382900488871,0.577617099511129,0.213487471821929,0.631278329155812,0.368721670844188,0.786512528178071
"36",85,"2014","man",0.376290795896414,0.623709204103586,0.161694572530301,0.590887019262526,0.409112980737474,0.838305427469699
"37",86,"2014","man",0.215614837741926,0.784385162258074,0.00125330101796017,0.429976374465892,0.570023625534108,0.99874669898204
"38",87,"2014","man",0.740743687585026,0.259256312414974,0.541133570367874,0.940353804802178,0.0596461951978217,0.458866429632126
"39",88,"2014","man",0.503814937681138,0.496185062318862,0.0627412432679134,0.944888632094363,0.0551113679056373,0.937258756732087
"40",89,"2014","man",0.328871506454296,0.671128493545704,-0.0164919069642346,0.674234919872826,0.325765080127174,1.01649190696423
"41",90,"2014","man",0.809546768004614,0.190453231995386,0.545456215462472,1.07363732054675,-0.0736373205467547,0.454543784537528
"42",91,"2014","man",0,1,0,0,1,1
"43",92,"2014","man",0.231963059945001,0.768036940054999,-0.152252693838524,0.616178813728526,0.383821186271474,1.15225269383852
"44",93,"2014","man",0.412887076761975,0.587112923238025,-0.259051082140124,1.08482523566407,-0.0848252356640747,1.25905108214012
"45",94,"2014","man",0,1,0,0,1,1
"46",95,"2014","man",0,0,0,0,0,0
"47",115,"2014","man",0,1,0,0,1,1
"48",50,"2014","woman",0.121166421298359,0.878833578701641,0.0871232839008715,0.155209558695846,0.844790441304154,0.912876716099128
