"","age","year","gender","unhealthy","healthy","CI_low_unhealthy","CI_up_unhealthy","CI_low_healthy","CI_up_healthy"
"1",50,"2014","man",0.0281835175598221,0.971816482440178,-0.0267304673006946,0.0830975024203387,0.916902497579661,1.02673046730069
"2",51,"2014","man",0.0926151412178902,0.90738485878211,0.0190223831910054,0.166207899244775,0.833792100755225,0.980977616808995
"3",52,"2014","man",0.0394172784702006,0.960582721529799,-0.00650255269128486,0.085337109631686,0.914662890368314,1.00650255269128
"4",53,"2014","man",0.0410555685819377,0.958944431418062,-0.0155883076549531,0.0976994448188285,0.902300555181171,1.01558830765495
"5",54,"2014","man",0.0644613810726399,0.93553861892736,0.0019176416490016,0.127005120496278,0.872994879503722,0.998082358350998
"6",55,"2014","man",0.094629751745811,0.905370248254189,0.0113789509600374,0.177880552531585,0.822119447468415,0.988621049039963
"7",56,"2014","man",0.0769769027815989,0.923023097218401,5.90123821951338e-05,0.153894793181003,0.846105206818997,0.999940987617805
"8",57,"2014","man",0.0781812265046005,0.9218187734954,0.0122255645593925,0.144136888449808,0.855863111550192,0.987774435440608
"9",58,"2014","man",0.102975594441737,0.897024405558263,0.0361820806793302,0.169769108204145,0.830230891795856,0.96381791932067
"10",59,"2014","man",0.0994901576361278,0.900509842363872,0.0491802788820676,0.149800036390188,0.850199963609812,0.950819721117932
"11",60,"2014","man",0.147815262468588,0.852184737531412,0.0887508664990836,0.206879658438092,0.793120341561908,0.911249133500916
"12",61,"2014","man",0.123464927140208,0.876535072859792,0.0625866795679753,0.184343174712441,0.815656825287559,0.937413320432025
"13",62,"2014","man",0.0954047600421568,0.904595239957843,0.0438094606118945,0.147000059472419,0.852999940527581,0.956190539388105
"14",63,"2014","man",0.11378235302297,0.88621764697703,0.0585788762762193,0.16898582976972,0.83101417023028,0.941421123723781
"15",64,"2014","man",0.131713215715143,0.868286784284857,0.0716972557142823,0.191729175716004,0.808270824283996,0.928302744285718
"16",65,"2014","man",0.10317027039573,0.89682972960427,0.0494101762151301,0.15693036457633,0.84306963542367,0.95058982378487
