age,country,year,sex,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
90+,Germany,2014,man,0.3712,0.6288,0.1204,0.6219,0.3781,0.8796
50-55,Sweden,2014,man,0.0637,0.9363,0.0533,0.0741,0.9259,0.9467
55-60,Sweden,2014,man,0.0373,0.9627,-0.0026,0.0771,0.9229,1.0026
60-65,Sweden,2014,man,0.0461,0.9539,0.0145,0.0777,0.9223,0.9855
65-70,Sweden,2014,man,0.0713,0.9287,0.0453,0.0974,0.9026,0.9547
70-75,Sweden,2014,man,0.0895,0.9105,0.0558,0.1233,0.8767,0.9442
75-80,Sweden,2014,man,0.1229,0.8771,0.0821,0.1638,0.8362,0.9179
80-85,Sweden,2014,man,0.1385,0.8615,0.0834,0.1935,0.8065,0.9166
85-90,Sweden,2014,man,0.2031,0.7969,0.1247,0.2815,0.7185,0.8753
90+,Sweden,2014,man,0.2849,0.7151,0.1327,0.4371,0.5629,0.8673
50-55,Spain,2014,man,0.0026,0.9974,-0.0012,0.0065,0.9935,1.0012
55-60,Spain,2014,man,0.0290,0.9710,-0.0091,0.0671,0.9329,1.0091
60-65,Spain,2014,man,0.0787,0.9213,0.0351,0.1223,0.8777,0.9649
65-70,Spain,2014,man,0.0574,0.9426,0.0251,0.0897,0.9103,0.9749
70-75,Spain,2014,man,0.1146,0.8854,0.0602,0.1689,0.8311,0.9398
75-80,Spain,2014,man,0.1190,0.8810,0.0765,0.1616,0.8384,0.9235
80-85,Spain,2014,man,0.2132,0.7868,0.1445,0.2819,0.7181,0.8555
85-90,Spain,2014,man,0.3509,0.6491,0.2302,0.4717,0.5283,0.7698
90+,Spain,2014,man,0.4093,0.5907,0.2398,0.5789,0.4211,0.7602
50-55,Italy,2014,man,0.0215,0.9785,0.0008,0.0422,0.9578,0.9992
55-60,Italy,2014,man,0.0354,0.9646,0.0103,0.0605,0.9395,0.9897
60-65,Italy,2014,man,0.0588,0.9412,0.0339,0.0837,0.9163,0.9661
65-70,Italy,2014,man,0.0578,0.9422,0.0353,0.0804,0.9196,0.9647
70-75,Italy,2014,man,0.0581,0.9419,0.0317,0.0845,0.9155,0.9683
75-80,Italy,2014,man,0.1433,0.8567,0.0999,0.1867,0.8133,0.9001
80-85,Italy,2014,man,0.2050,0.7950,0.1430,0.2669,0.7331,0.8570
85-90,Italy,2014,man,0.3835,0.6165,0.2600,0.5071,0.4929,0.7400
90+,Italy,2014,man,0.5151,0.4849,0.2634,0.7669,0.2331,0.7366
50-55,France,2014,man,0.0861,0.9139,0.0437,0.1284,0.8716,0.9563
55-60,France,2014,man,0.0682,0.9318,0.0306,0.1058,0.8942,0.9694
60-65,France,2014,man,0.0602,0.9398,0.0355,0.0850,0.9150,0.9645
65-70,France,2014,man,0.0932,0.9068,0.0641,0.1223,0.8777,0.9359
70-75,France,2014,man,0.1636,0.8364,0.1035,0.2238,0.7762,0.8965
75-80,France,2014,man,0.1808,0.8192,0.1339,0.2276,0.7724,0.8661
80-85,France,2014,man,0.3051,0.6949,0.2358,0.3745,0.6255,0.7642
85-90,France,2014,man,0.3803,0.6197,0.2609,0.4996,0.5004,0.7391
90+,France,2014,man,0.6517,0.3483,0.4652,0.8383,0.1617,0.5348
50-55,Denmark,2014,man,0.0529,0.9471,0.0397,0.0660,0.9340,0.9603
55-60,Denmark,2014,man,0.0502,0.9498,0.0201,0.0802,0.9198,0.9799
60-65,Denmark,2014,man,0.0761,0.9239,0.0399,0.1123,0.8877,0.9601
65-70,Denmark,2014,man,0.0757,0.9243,0.0598,0.0916,0.9084,0.9402
70-75,Denmark,2014,man,0.0904,0.9096,0.0286,0.1522,0.8478,0.9714
75-80,Denmark,2014,man,0.1080,0.8920,0.0043,0.2117,0.7883,0.9957
80-85,Denmark,2014,man,0.2550,0.7450,0.1995,0.3106,0.6894,0.8005
85-90,Denmark,2014,man,0.2695,0.7305,0.0138,0.5252,0.4748,0.9862
90+,Denmark,2014,man,0.4322,0.5678,0.2236,0.6407,0.3593,0.7764
50-55,Greece,2014,man,0.0153,0.9847,-0.0002,0.0308,0.9692,1.0002
55-60,Greece,2014,man,0.0203,0.9797,0.0032,0.0373,0.9627,0.9968
60-65,Greece,2014,man,0.0188,0.9812,0.0028,0.0348,0.9652,0.9972
65-70,Greece,2014,man,0.0583,0.9417,0.0277,0.0888,0.9112,0.9723
70-75,Greece,2014,man,0.0533,0.9467,0.0261,0.0805,0.9195,0.9739
