age,country,year,sex,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
55-60,Spain,2014,woman,0.0542,0.9458,0.0000,0.1083,0.8917,1.0000
60-65,Spain,2014,woman,0.0671,0.9329,0.0341,0.1002,0.8998,0.9659
65-70,Spain,2014,woman,0.0682,0.9318,0.0369,0.0995,0.9005,0.9631
70-75,Spain,2014,woman,0.1288,0.8712,0.0831,0.1746,0.8254,0.9169
75-80,Spain,2014,woman,0.1559,0.8441,0.1062,0.2056,0.7944,0.8938
80-85,Spain,2014,woman,0.2904,0.7096,0.2240,0.3568,0.6432,0.7760
85-90,Spain,2014,woman,0.4324,0.5676,0.3441,0.5206,0.4794,0.6559
90+,Spain,2014,woman,0.6476,0.3524,0.5223,0.7730,0.2270,0.4777
50-55,Italy,2014,woman,0.0501,0.9499,0.0101,0.0902,0.9098,0.9899
55-60,Italy,2014,woman,0.0300,0.9700,0.0144,0.0457,0.9543,0.9856
60-65,Italy,2014,woman,0.0458,0.9542,0.0251,0.0664,0.9336,0.9749
65-70,Italy,2014,woman,0.0954,0.9046,0.0664,0.1243,0.8757,0.9336
70-75,Italy,2014,woman,0.1110,0.8890,0.0767,0.1452,0.8548,0.9233
75-80,Italy,2014,woman,0.1974,0.8026,0.1500,0.2448,0.7552,0.8500
80-85,Italy,2014,woman,0.3214,0.6786,0.2490,0.3938,0.6062,0.7510
85-90,Italy,2014,woman,0.4795,0.5205,0.3799,0.5790,0.4210,0.6201
90+,Italy,2014,woman,0.7376,0.2624,0.5934,0.8818,0.1182,0.4066
50-55,France,2014,woman,0.0698,0.9302,0.0322,0.1075,0.8925,0.9678
55-60,France,2014,woman,0.0719,0.9281,0.0393,0.1045,0.8955,0.9607
60-65,France,2014,woman,0.1058,0.8942,0.0656,0.1460,0.8540,0.9344
65-70,France,2014,woman,0.0648,0.9352,0.0343,0.0953,0.9047,0.9657
70-75,France,2014,woman,0.1113,0.8887,0.0695,0.1531,0.8469,0.9305
75-80,France,2014,woman,0.2080,0.7920,0.1568,0.2593,0.7407,0.8432
80-85,France,2014,woman,0.3048,0.6952,0.2455,0.3642,0.6358,0.7545
85-90,France,2014,woman,0.3859,0.6141,0.3102,0.4617,0.5383,0.6898
90+,France,2014,woman,0.6728,0.3272,0.5852,0.7603,0.2397,0.4148
50-55,Denmark,2014,woman,0.0673,0.9327,0.0488,0.0858,0.9142,0.9512
55-60,Denmark,2014,woman,0.0440,0.9560,0.0182,0.0698,0.9302,0.9818
60-65,Denmark,2014,woman,0.0254,0.9746,0.0135,0.0372,0.9628,0.9865
65-70,Denmark,2014,woman,0.0652,0.9348,0.0388,0.0917,0.9083,0.9612
70-75,Denmark,2014,woman,0.0805,0.9195,0.0744,0.0867,0.9133,0.9256
75-80,Denmark,2014,woman,0.1149,0.8851,0.1016,0.1283,0.8717,0.8984
80-85,Denmark,2014,woman,0.1694,0.8306,0.1064,0.2324,0.7676,0.8936
85-90,Denmark,2014,woman,0.2346,0.7654,0.1613,0.3079,0.6921,0.8387
90+,Denmark,2014,woman,0.4257,0.5743,0.4092,0.4422,0.5578,0.5908
50-55,Greece,2014,woman,0.0199,0.9801,0.0021,0.0377,0.9623,0.9979
55-60,Greece,2014,woman,0.0323,0.9677,0.0083,0.0563,0.9437,0.9917
60-65,Greece,2014,woman,0.0495,0.9505,0.0276,0.0714,0.9286,0.9724
65-70,Greece,2014,woman,0.0420,0.9580,0.0214,0.0626,0.9374,0.9786
70-75,Greece,2014,woman,0.0850,0.9150,0.0477,0.1223,0.8777,0.9523
75-80,Greece,2014,woman,0.1845,0.8155,0.1415,0.2274,0.7726,0.8585
80-85,Greece,2014,woman,0.1636,0.8364,0.1162,0.2110,0.7890,0.8838
85-90,Greece,2014,woman,0.3956,0.6044,0.3142,0.4771,0.5229,0.6858
90+,Greece,2014,woman,0.5134,0.4866,0.3123,0.7146,0.2854,0.6877
50-55,Switzerland,2014,woman,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000
55-60,Switzerland,2014,woman,0.0399,0.9601,0.0193,0.0605,0.9395,0.9807
60-65,Switzerland,2014,woman,0.0255,0.9745,0.0066,0.0444,0.9556,0.9934
65-70,Switzerland,2014,woman,0.0543,0.9457,0.0233,0.0853,0.9147,0.9767
70-75,Switzerland,2014,woman,0.0291,0.9709,0.0067,0.0514,0.9486,0.9933
75-80,Switzerland,2014,woman,0.1192,0.8808,0.0795,0.1588,0.8412,0.9205
80-85,Switzerland,2014,woman,0.1601,0.8399,0.0766,0.2437,0.7563,0.9234
85-90,Switzerland,2014,woman,0.2636,0.7364,0.1563,0.3708,0.6292,0.8437
90+,Switzerland,2014,woman,0.3778,0.6222,0.2411,0.5144,0.4856,0.7589
50-55,Belgium,2014,woman,0.0986,0.9014,0.0582,0.1391,0.8609,0.9418
55-60,Belgium,2014,woman,0.0588,0.9412,0.0350,0.0827,0.9173,0.9650
60-65,Belgium,2014,woman,0.1116,0.8884,0.0824,0.1409,0.8591,0.9176
65-70,Belgium,2014,woman,0.1011,0.8989,0.0754,0.1267,0.8733,0.9246
70-75,Belgium,2014,woman,0.1660,0.8340,0.1278,0.2041,0.7959,0.8722
75-80,Belgium,2014,woman,0.2525,0.7475,0.2027,0.3022,0.6978,0.7973
80-85,Belgium,2014,woman,0.3346,0.6654,0.2745,0.3948,0.6052,0.7255
85-90,Belgium,2014,woman,0.5347,0.4653,0.4638,0.6056,0.3944,0.5362
90+,Belgium,2014,woman,0.6848,0.3152,0.5781,0.7915,0.2085,0.4219
50-55,Israel,2014,woman,0.0424,0.9576,-0.0104,0.0953,0.9047,1.0104
55-60,Israel,2014,woman,0.0534,0.9466,-0.0092,0.1160,0.8840,1.0092
60-65,Israel,2014,woman,0.0417,0.9583,0.0139,0.0696,0.9304,0.9861
65-70,Israel,2014,woman,0.0544,0.9456,0.0233,0.0855,0.9145,0.9767
70-75,Israel,2014,woman,0.1869,0.8131,0.1153,0.2585,0.7415,0.8847
75-80,Israel,2014,woman,0.1454,0.8546,0.0855,0.2052,0.7948,0.9145
80-85,Israel,2014,woman,0.3273,0.6727,0.2269,0.4278,0.5722,0.7731
85-90,Israel,2014,woman,0.4551,0.5449,0.3222,0.5879,0.4121,0.6778
90+,Israel,2014,woman,0.8033,0.1967,0.6380,0.9687,0.0313,0.3620
50-55,Czechia,2014,woman,0.0317,0.9683,-0.0070,0.0704,0.9296,1.0070
55-60,Czechia,2014,woman,0.0500,0.9500,0.0257,0.0742,0.9258,0.9743
60-65,Czechia,2014,woman,0.0644,0.9356,0.0417,0.0871,0.9129,0.9583
65-70,Czechia,2014,woman,0.1031,0.8969,0.0727,0.1336,0.8664,0.9273
70-75,Czechia,2014,woman,0.1438,0.8562,0.1081,0.1795,0.8205,0.8919
75-80,Czechia,2014,woman,0.1885,0.8115,0.1372,0.2397,0.7603,0.8628
80-85,Czechia,2014,woman,0.2729,0.7271,0.1941,0.3518,0.6482,0.8059
85-90,Czechia,2014,woman,0.5197,0.4803,0.3935,0.6459,0.3541,0.6065
90+,Czechia,2014,woman,0.6884,0.3116,0.5297,0.8471,0.1529,0.4703
50-55,Poland,2014,woman,0.0743,0.9257,0.0161,0.1326,0.8674,0.9839
55-60,Poland,2014,woman,0.0790,0.9210,0.0357,0.1224,0.8776,0.9643
60-65,Poland,2014,woman,0.0843,0.9157,0.0720,0.0965,0.9035,0.9280
65-70,Poland,2014,woman,0.1182,0.8818,0.0998,0.1365,0.8635,0.9002
70-75,Poland,2014,woman,0.1837,0.8163,0.1610,0.2065,0.7935,0.8390
75-80,Poland,2014,woman,0.2781,0.7219,0.2055,0.3507,0.6493,0.7945
80-85,Poland,2014,woman,0.3418,0.6582,0.3062,0.3774,0.6226,0.6938
85-90,Poland,2014,woman,0.4137,0.5863,0.3863,0.4412,0.5588,0.6137
90+,Poland,2014,woman,0.8250,0.1750,0.7613,0.8888,0.1112,0.2387
50-55,Luxembourg,2014,woman,0.0228,0.9772,-0.0005,0.0461,0.9539,1.0005
55-60,Luxembourg,2014,woman,0.0544,0.9456,0.0301,0.0788,0.9212,0.9699
60-65,Luxembourg,2014,woman,0.0902,0.9098,0.0468,0.1335,0.8665,0.9532
65-70,Luxembourg,2014,woman,0.0922,0.9078,0.0429,0.1415,0.8585,0.9571
70-75,Luxembourg,2014,woman,0.0853,0.9147,0.0426,0.1280,0.8720,0.9574
75-80,Luxembourg,2014,woman,0.1157,0.8843,0.0259,0.2055,0.7945,0.9741
80-85,Luxembourg,2014,woman,0.2860,0.7140,0.2421,0.3300,0.6700,0.7579
85-90,Luxembourg,2014,woman,0.4992,0.5008,0.3339,0.6644,0.3356,0.6661
90+,Luxembourg,2014,woman,0.5455,0.4545,0.5455,0.5455,0.4545,0.4545
50-55,Portugal,2014,woman,0.0982,0.9018,-0.0200,0.2165,0.7835,1.0200
55-60,Portugal,2014,woman,0.1805,0.8195,0.0823,0.2788,0.7212,0.9177
60-65,Portugal,2014,woman,0.1859,0.8141,0.0945,0.2773,0.7227,0.9055
65-70,Portugal,2014,woman,0.1667,0.8333,0.0657,0.2677,0.7323,0.9343
70-75,Portugal,2014,woman,0.1649,0.8351,0.0822,0.2476,0.7524,0.9178
75-80,Portugal,2014,woman,0.4522,0.5478,0.2265,0.6778,0.3222,0.7735
80-85,Portugal,2014,woman,0.5367,0.4633,0.2888,0.7846,0.2154,0.7112
85-90,Portugal,2014,woman,0.7772,0.2228,0.5688,0.9856,0.0144,0.4312
90+,Portugal,2014,woman,0.7932,0.2068,0.5585,1.0280,-0.0280,0.4415
50-55,Slovenia,2014,woman,0.0582,0.9418,0.0230,0.0933,0.9067,0.9770
55-60,Slovenia,2014,woman,0.0701,0.9299,0.0399,0.1003,0.8997,0.9601
60-65,Slovenia,2014,woman,0.0543,0.9457,0.0314,0.0771,0.9229,0.9686
65-70,Slovenia,2014,woman,0.0790,0.9210,0.0503,0.1078,0.8922,0.9497
70-75,Slovenia,2014,woman,0.1514,0.8486,0.1086,0.1942,0.8058,0.8914
75-80,Slovenia,2014,woman,0.1603,0.8397,0.1154,0.2052,0.7948,0.8846
80-85,Slovenia,2014,woman,0.2849,0.7151,0.2167,0.3532,0.6468,0.7833
85-90,Slovenia,2014,woman,0.2962,0.7038,0.1918,0.4006,0.5994,0.8082
90+,Slovenia,2014,woman,0.6115,0.3885,0.4256,0.7974,0.2026,0.5744
50-55,Estonia,2014,woman,0.0692,0.9308,0.0559,0.0825,0.9175,0.9441
55-60,Estonia,2014,woman,0.0936,0.9064,0.0827,0.1044,0.8956,0.9173
60-65,Estonia,2014,woman,0.0782,0.9218,0.0483,0.1081,0.8919,0.9517
65-70,Estonia,2014,woman,0.1233,0.8767,0.1094,0.1371,0.8629,0.8906
70-75,Estonia,2014,woman,0.1421,0.8579,0.1189,0.1652,0.8348,0.8811
75-80,Estonia,2014,woman,0.2355,0.7645,0.2110,0.2600,0.7400,0.7890
80-85,Estonia,2014,woman,0.3290,0.6710,0.2810,0.3770,0.6230,0.7190
85-90,Estonia,2014,woman,0.3906,0.6094,0.3311,0.4502,0.5498,0.6689
90+,Estonia,2014,woman,0.4587,0.5413,0.4511,0.4663,0.5337,0.5489
50-55,Croatia,2014,woman,0.0477,0.9523,0.0165,0.0790,0.9210,0.9835
55-60,Croatia,2014,woman,0.0638,0.9362,0.0294,0.0982,0.9018,0.9706
60-65,Croatia,2014,woman,0.0830,0.9170,0.0512,0.1149,0.8851,0.9488
65-70,Croatia,2014,woman,0.0892,0.9108,0.0450,0.1335,0.8665,0.9550
70-75,Croatia,2014,woman,0.1146,0.8854,0.0637,0.1655,0.8345,0.9363
75-80,Croatia,2014,woman,0.2310,0.7690,0.1583,0.3037,0.6963,0.8417
80-85,Croatia,2014,woman,0.3217,0.6783,0.1517,0.4917,0.5083,0.8483
85-90,Croatia,2014,woman,0.5178,0.4822,0.3599,0.6757,0.3243,0.6401
90+,Croatia,2014,woman,0.4973,0.5027,0.2605,0.7340,0.2660,0.7395
