"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","country"
"50-55",2015,"woman",0.857862707112249,0.142137292887751,0.828771259354603,0.886954154869895,0.113045845130105,0.171228740645397,"China"
"55-60",2015,"woman",0.829873509486386,0.170126490513614,0.807240033320555,0.852506985652217,0.147493014347783,0.192759966679445,"China"
"60-65",2015,"woman",0.785570777054234,0.214429222945766,0.763421263967258,0.807720290141211,0.192279709858789,0.236578736032742,"China"
"65-70",2015,"woman",0.724531569618525,0.275468430381475,0.695934530411598,0.753128608825452,0.246871391174548,0.304065469588402,"China"
"70-75",2015,"woman",0.655260266019991,0.344739733980009,0.602947904481924,0.707572627558059,0.292427372441941,0.397052095518076,"China"
"75-80",2015,"woman",0.661816751697064,0.338183248302936,0.609372174818366,0.714261328575762,0.285738671424238,0.390627825181634,"China"
"80+",2015,"woman",0.493412940468662,0.506587059531338,0.433453078781397,0.553372802155927,0.446627197844073,0.566546921218603,"China"
"50-55",2015,"man",0.938982782494208,0.0610172175057919,0.926071892581428,0.951893672406988,0.0481063275930121,0.0739281074185717,"China"
"55-60",2015,"man",0.905499019861293,0.0945009801387071,0.889134798793057,0.921863240929529,0.078136759070471,0.110865201206943,"China"
"60-65",2015,"man",0.850925386697841,0.149074613302159,0.829344255102963,0.872506518292719,0.127493481707281,0.170655744897037,"China"
"65-70",2015,"man",0.822251016920594,0.177748983079406,0.797194366232825,0.847307667608364,0.152692332391636,0.202805633767175,"China"
"70-75",2015,"man",0.747813762419984,0.252186237580016,0.702231219222296,0.793396305617671,0.206603694382328,0.297768780777704,"China"
"75-80",2015,"man",0.70523409258145,0.29476590741855,0.65375868919285,0.75670949597005,0.24329050402995,0.34624131080715,"China"
"80+",2015,"man",0.64718757765723,0.35281242234277,0.537187421710636,0.757187733603824,0.242812266396176,0.462812578289364,"China"
"50-55",2014,"woman",0.888551547,0.111448453,0.837035106,0.940067989,0.059932011,0.162964894,"US"
"55-60",2014,"woman",0.878662565,0.121337435,0.857883711,0.899441419,0.100558581,0.142116289,"US"
"60-65",2014,"woman",0.880201464,0.119798536,0.859016963,0.901385964,0.098614036,0.140983037,"US"
"65-70",2014,"woman",0.873017453,0.126982547,0.853541836,0.89249307,0.10750693,0.146458164,"US"
"70-75",2014,"woman",0.817717497,0.182282503,0.790638315,0.844796679,0.155203321,0.209361685,"US"
"75-80",2014,"woman",0.816390647,0.183609353,0.793117745,0.839663549,0.160336451,0.206882255,"US"
"80+",2014,"woman",0.687128425,0.312871575,0.66323082,0.71102603,0.28897397,0.33676918,"US"
"50-55",2014,"man",0.903808117,0.096191883,0.815483177,0.992133058,0.007866942,0.184516823,"US"
"55-60",2014,"man",0.894691676,0.105308324,0.874679495,0.914703858,0.085296142,0.125320505,"US"
"60-65",2014,"man",0.877994415,0.122005585,0.857710109,0.89827872,0.10172128,0.142289891,"US"
"65-70",2014,"man",0.885748604,0.114251396,0.863876154,0.907621055,0.092378945,0.136123846,"US"
"70-75",2014,"man",0.880794855,0.119205145,0.853189515,0.908400196,0.091599804,0.146810485,"US"
"75-80",2014,"man",0.835844111,0.164155889,0.809663287,0.862024935,0.137975065,0.190336713,"US"
"80+",2014,"man",0.727437978,0.272562022,0.700048898,0.754827057,0.245172943,0.299951102,"US"
"50-55",2015,"woman",0.925927849491159,0.0740721505088408,0.897948606908635,0.953907092073683,0.0460929079263169,0.102051393091365,"England"
"55-60",2015,"woman",0.847204259041264,0.152795740958736,0.81111191290377,0.883296605178758,0.116703394821242,0.18888808709623,"England"
"60-65",2015,"woman",0.872511003374621,0.127488996625379,0.847844714274627,0.897177292474615,0.102822707525385,0.152155285725373,"England"
"65-70",2015,"woman",0.868433831301256,0.131566168698744,0.844619457968818,0.892248204633694,0.107751795366306,0.155380542031182,"England"
"70-75",2015,"woman",0.802303148619416,0.197696851380584,0.770656311696037,0.833949985542795,0.166050014457205,0.229343688303963,"England"
"75-80",2015,"woman",0.797869485860641,0.202130514139359,0.764104292190966,0.831634679530317,0.168365320469683,0.235895707809034,"England"
"80+",2015,"woman",0.605166931590554,0.394833068409446,0.565680178745991,0.644653684435118,0.355346315564882,0.434319821254009,"England"
"50-55",2015,"man",0.942440071098306,0.057559928901694,0.914013442350186,0.970866699846426,0.029133300153574,0.0859865576498141,"England"
"55-60",2015,"man",0.908599971549611,0.0914000284503891,0.879048683269813,0.938151259829409,0.061848740170591,0.120951316730187,"England"
"60-65",2015,"man",0.876655766811614,0.123344233188386,0.850800129113724,0.902511404509504,0.097488595490496,0.149199870886276,"England"
"65-70",2015,"man",0.839207638031128,0.160792361968872,0.810048970381481,0.868366305680775,0.131633694319225,0.189951029618519,"England"
"70-75",2015,"man",0.825325009856308,0.174674990143692,0.792669959217839,0.857980060494776,0.142019939505224,0.207330040782161,"England"
"75-80",2015,"man",0.748942756201875,0.251057243798125,0.708415408850541,0.789470103553209,0.210529896446791,0.291584591149459,"England"
"80+",2015,"man",0.681280134284365,0.318719865715636,0.637138159802884,0.725422108765845,0.274577891234155,0.362861840197116,"England"
"50-55",2015,"woman",1,0,1,1,0,0,"Korea"
"55-60",2015,"woman",0.993560587,0.006439413,0.987527935,0.999593238,0.000406762,0.012472065,"Korea"
"60-65",2015,"woman",0.996666213,0.003333787,0.992574985,1.00075744,-0.00075744,0.007425015,"Korea"
