"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","country"
"50-55",2015,"woman",0.475494191039511,0.524505808960489,0.441323794065886,0.509664588013136,0.490335411986864,0.558676205934114,"China"
"55-60",2015,"woman",0.356155262779532,0.643844737220468,0.318923798627999,0.393386726931066,0.606613273068934,0.681076201372001,"China"
"60-65",2015,"woman",0.310584514522809,0.689415485477191,0.283759036508027,0.337409992537591,0.662590007462409,0.716240963491973,"China"
"65-70",2015,"woman",0.296928282039993,0.703071717960007,0.266698998545318,0.327157565534668,0.672842434465331,0.733301001454682,"China"
"70-75",2015,"woman",0.228026902371526,0.771973097628474,0.191865573437501,0.26418823130555,0.73581176869445,0.808134426562499,"China"
"75-80",2015,"woman",0.317713515271494,0.682286484728506,0.257157614088162,0.378269416454826,0.621730583545174,0.742842385911838,"China"
"80+",2015,"woman",0.296731509885316,0.703268490114684,0.243510891056163,0.349952128714469,0.650047871285531,0.756489108943837,"China"
"50-55",2015,"man",0.530768166701742,0.469231833298258,0.494918466054438,0.566617867349046,0.433382132650954,0.505081533945562,"China"
"55-60",2015,"man",0.491727575440903,0.508272424559097,0.455689046221667,0.527766104660139,0.472233895339861,0.544310953778333,"China"
"60-65",2015,"man",0.410122891296455,0.589877108703545,0.3781799556891,0.44206582690381,0.55793417309619,0.6218200443109,"China"
"65-70",2015,"man",0.358003261028861,0.641996738971139,0.324465382218128,0.391541139839594,0.608458860160406,0.675534617781872,"China"
"70-75",2015,"man",0.319056251698838,0.680943748301162,0.27749589529577,0.360616608101905,0.639383391898095,0.72250410470423,"China"
"75-80",2015,"man",0.289900530366658,0.710099469633342,0.240478075698549,0.339322985034767,0.660677014965233,0.759521924301451,"China"
"80+",2015,"man",0.281198541074319,0.718801458925681,0.200411222010015,0.361985860138622,0.638014139861378,0.799588777989985,"China"
"50-55",2014,"woman",0.308640334,0.691359666,0.222038669,0.395242,0.604758,0.777961331,"US"
"55-60",2014,"woman",0.36504962,0.63495038,0.336435742,0.393663498,0.606336502,0.663564258,"US"
"60-65",2014,"woman",0.290364183,0.709635817,0.263875924,0.316852441,0.683147559,0.736124076,"US"
"65-70",2014,"woman",0.210256146,0.789743854,0.18009025,0.240422042,0.759577958,0.81990975,"US"
"70-75",2014,"woman",0.121349892,0.878650108,0.100554761,0.142145023,0.857854977,0.899445239,"US"
"75-80",2014,"woman",0.109570941,0.890429059,0.092722681,0.126419201,0.873580799,0.907277319,"US"
"80+",2014,"woman",0.087191203,0.912808797,0.074516457,0.09986595,0.90013405,0.925483543,"US"
"50-55",2014,"man",0.445495025,0.554504975,0.309168033,0.581822016,0.418177984,0.690831967,"US"
"55-60",2014,"man",0.452980265,0.547019735,0.419349348,0.486611183,0.513388817,0.580650652,"US"
"60-65",2014,"man",0.3383104,0.6616896,0.30429951,0.372321289,0.627678711,0.69570049,"US"
"65-70",2014,"man",0.229402649,0.770597351,0.199401544,0.259403755,0.740596245,0.800598456,"US"
"70-75",2014,"man",0.162741119,0.837258881,0.129660823,0.195821416,0.804178584,0.870339177,"US"
"75-80",2014,"man",0.100653921,0.899346079,0.081187444,0.120120398,0.879879602,0.918812556,"US"
"80+",2014,"man",0.09272013,0.90727987,0.070834112,0.114606148,0.885393852,0.929165888,"US"
"50-55",2015,"woman",0.722304078559175,0.277695921440825,0.671172669547785,0.773435487570565,0.226564512429435,0.328827330452215,"England"
"55-60",2015,"woman",0.491056116871867,0.508943883128133,0.443037487927784,0.539074745815949,0.460925254184051,0.556962512072216,"England"
"60-65",2015,"woman",0.429399287032997,0.570600712967003,0.39400487177051,0.464793702295484,0.535206297704516,0.60599512822949,"England"
"65-70",2015,"woman",0.329984857016667,0.670015142983333,0.298132435003225,0.361837279030109,0.638162720969891,0.701867564996775,"England"
"70-75",2015,"woman",0.262490486879075,0.737509513120925,0.228583572190258,0.296397401567892,0.703602598432108,0.771416427809742,"England"
"75-80",2015,"woman",0.243173738057818,0.756826261942182,0.207849617931273,0.278497858184363,0.721502141815637,0.792150382068727,"England"
"80+",2015,"woman",0.170093295270178,0.829906704729822,0.139140802963887,0.201045787576469,0.798954212423531,0.860859197036113,"England"
"50-55",2015,"man",0.764758257001873,0.235241742998127,0.709633185056458,0.819883328947287,0.180116671052713,0.290366814943542,"England"
"55-60",2015,"man",0.608562360641991,0.391437639358009,0.556222241872186,0.660902479411796,0.339097520588204,0.443777758127814,"England"
"60-65",2015,"man",0.512909266818927,0.487090733181073,0.473763015045688,0.552055518592167,0.447944481407833,0.526236984954312,"England"
