"","age","year","gender","unhealthy","healthy","CI_low_unhealthy","CI_up_unhealthy","CI_low_healthy","CI_up_healthy"
"1","50-55","2016","man",0.0701087497461218,0.929891250253878,0.0608301093550066,0.079387390137237,0.920612609862763,0.939169890644993
"2","55-60","2016","man",0.090540328184849,0.909459671815151,0.0794876260047785,0.101593030364919,0.898406969635081,0.920512373995222
"3","60-65","2016","man",0.128418723189534,0.871581276810466,0.116278767862972,0.140558678516095,0.859441321483905,0.883721232137028
"4","65-70","2016","man",0.165259596567013,0.834740403432987,0.151373380355045,0.179145812778981,0.820854187221019,0.848626619644955
"5","70-75","2016","man",0.210188927405001,0.789811072594999,0.191577143719247,0.228800711090755,0.771199288909245,0.808422856280753
"6","75-80","2016","man",0.265162539908745,0.734837460091255,0.23828509051156,0.29203998930593,0.70796001069407,0.76171490948844
"7","80-85","2016","man",0.296751654059287,0.703248345940713,0.260144568977892,0.333358739140682,0.666641260859318,0.739855431022108
"8","85-90","2016","man",0.374008670742083,0.625991329257917,0.315897938017419,0.432119403466748,0.567880596533252,0.684102061982581
"9","90+","2016","man",0.516691061171545,0.483308938828455,0.43742200101091,0.59596012133218,0.40403987866782,0.56257799898909
"10","50-55","2016","woman",0.10804192209021,0.89195807790979,0.0981565051284047,0.117927339052015,0.882072660947985,0.901843494871595
"11","55-60","2016","woman",0.135675081000529,0.864324918999471,0.124407705523185,0.146942456477873,0.853057543522127,0.875592294476815
"12","60-65","2016","woman",0.170619673751641,0.829380326248359,0.158090406155917,0.183148941347364,0.816851058652636,0.841909593844083
"13","65-70","2016","woman",0.213470284771254,0.786529715228746,0.198496049748319,0.228444519794189,0.771555480205811,0.801503950251681
"14","70-75","2016","woman",0.290386102853468,0.709613897146532,0.269783412872402,0.310988792834533,0.689011207165467,0.730216587127598
"15","75-80","2016","woman",0.341418979802758,0.658581020197242,0.313822863724731,0.369015095880785,0.630984904119215,0.686177136275269
"16","80-85","2016","woman",0.433456559237971,0.566543440762029,0.395720600778767,0.471192517697175,0.528807482302825,0.604279399221233
"17","85-90","2016","woman",0.44646129351227,0.55353870648773,0.390975719421853,0.501946867602687,0.498053132397313,0.609024280578147
"18","90+","2016","woman",0.547333959177424,0.452666040822576,0.484383222718288,0.610284695636561,0.389715304363439,0.515616777281712
