age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy,type
50-55,2014,woman,0.308640334,0.691359666,0.222038669,0.395242,0.604758,0.777961331,at least one
55-60,2014,woman,0.36504962,0.63495038,0.336435742,0.393663498,0.606336502,0.663564258,at least one
60-65,2014,woman,0.290364183,0.709635817,0.263875924,0.316852441,0.683147559,0.736124076,at least one
65-70,2014,woman,0.210256146,0.789743854,0.18009025,0.240422042,0.759577958,0.81990975,at least one
70-75,2014,woman,0.121349892,0.878650108,0.100554761,0.142145023,0.857854977,0.899445239,at least one
75-80,2014,woman,0.109570941,0.890429059,0.092722681,0.126419201,0.873580799,0.907277319,at least one
80+,2014,woman,0.087191203,0.912808797,0.074516457,0.09986595,0.90013405,0.925483543,at least one
50-55,2014,man,0.445495025,0.554504975,0.309168033,0.581822016,0.418177984,0.690831967,at least one
55-60,2014,man,0.452980265,0.547019735,0.419349348,0.486611183,0.513388817,0.580650652,at least one
60-65,2014,man,0.3383104,0.6616896,0.30429951,0.372321289,0.627678711,0.69570049,at least one
65-70,2014,man,0.229402649,0.770597351,0.199401544,0.259403755,0.740596245,0.800598456,at least one
70-75,2014,man,0.162741119,0.837258881,0.129660823,0.195821416,0.804178584,0.870339177,at least one
75-80,2014,man,0.100653921,0.899346079,0.081187444,0.120120398,0.879879602,0.918812556,at least one
80+,2014,man,0.09272013,0.90727987,0.070834112,0.114606148,0.885393852,0.929165888,at least one
50-55,2014,woman,0.888551547,0.111448453,0.837035106,0.940067989,0.059932011,0.162964894,adl
55-60,2014,woman,0.878662565,0.121337435,0.857883711,0.899441419,0.100558581,0.142116289,adl
60-65,2014,woman,0.880201464,0.119798536,0.859016963,0.901385964,0.098614036,0.140983037,adl
65-70,2014,woman,0.873017453,0.126982547,0.853541836,0.89249307,0.10750693,0.146458164,adl
70-75,2014,woman,0.817717497,0.182282503,0.790638315,0.844796679,0.155203321,0.209361685,adl
75-80,2014,woman,0.816390647,0.183609353,0.793117745,0.839663549,0.160336451,0.206882255,adl
80+,2014,woman,0.687128425,0.312871575,0.66323082,0.71102603,0.28897397,0.33676918,adl
50-55,2014,man,0.903808117,0.096191883,0.815483177,0.992133058,0.007866942,0.184516823,adl
55-60,2014,man,0.894691676,0.105308324,0.874679495,0.914703858,0.085296142,0.125320505,adl
60-65,2014,man,0.877994415,0.122005585,0.857710109,0.89827872,0.10172128,0.142289891,adl
65-70,2014,man,0.885748604,0.114251396,0.863876154,0.907621055,0.092378945,0.136123846,adl
70-75,2014,man,0.880794855,0.119205145,0.853189515,0.908400196,0.091599804,0.146810485,adl
75-80,2014,man,0.835844111,0.164155889,0.809663287,0.862024935,0.137975065,0.190336713,adl
80+,2014,man,0.727437978,0.272562022,0.700048898,0.754827057,0.245172943,0.299951102,adl
50-55,2014,woman,0.568984742,0.431015258,0.470229342,0.667740143,0.332259857,0.529770658,arthritis
55-60,2014,woman,0.541111419,0.458888581,0.511421198,0.570801641,0.429198359,0.488578802,arthritis
60-65,2014,woman,0.427583171,0.572416829,0.400976458,0.454189885,0.545810115,0.599023542,arthritis
65-70,2014,woman,0.33194157,0.66805843,0.300506086,0.363377054,0.636622946,0.699493914,arthritis
70-75,2014,woman,0.243510861,0.756489139,0.216696288,0.270325434,0.729674566,0.783303712,arthritis
75-80,2014,woman,0.218866122,0.781133878,0.191935815,0.245796429,0.754203571,0.808064185,arthritis
80+,2014,woman,0.20820958,0.79179042,0.191642996,0.224776165,0.775223835,0.808357004,arthritis
50-55,2014,man,0.658254911,0.341745089,0.546721984,0.769787838,0.230212162,0.453278016,arthritis
55-60,2014,man,0.633138106,0.366861894,0.601823672,0.66445254,0.33554746,0.398176328,arthritis
60-65,2014,man,0.537248249,0.462751751,0.508566709,0.565929789,0.434070211,0.491433291,arthritis
65-70,2014,man,0.444821437,0.555178563,0.4055079,0.484134973,0.515865027,0.5944921,arthritis
70-75,2014,man,0.386750068,0.613249932,0.347258896,0.426241239,0.573758761,0.652741104,arthritis
75-80,2014,man,0.345571671,0.654428329,0.312828095,0.378315246,0.621684754,0.687171905,arthritis
80+,2014,man,0.339102309,0.660897691,0.309490822,0.368713795,0.631286205,0.690509178,arthritis
50-55,2014,woman,0.911041994,0.088958006,0.870949538,0.951134451,0.048865549,0.129050462,cancer
55-60,2014,woman,0.891415701,0.108584299,0.874069557,0.908761846,0.091238154,0.125930443,cancer
60-65,2014,woman,0.887883453,0.112116547,0.868106465,0.907660441,0.092339559,0.131893535,cancer
65-70,2014,woman,0.823527268,0.176472732,0.792487733,0.854566803,0.145433197,0.207512267,cancer
70-75,2014,woman,0.811944929,0.188055071,0.788717789,0.835172068,0.164827932,0.211282211,cancer
75-80,2014,woman,0.80337197,0.19662803,0.784165893,0.822578048,0.177421952,0.215834107,cancer
80+,2014,woman,0.790511172,0.209488828,0.767922263,0.813100081,0.186899919,0.232077737,cancer
50-55,2014,man,0.957059681,0.042940319,0.918518485,0.995600877,0.004399123,0.081481515,cancer
55-60,2014,man,0.941746023,0.058253977,0.926715772,0.956776273,0.043223727,0.073284228,cancer
