"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","type"
"50-55","2017","woman",0.74921982974573,0.25078017025427,0.735736624709242,0.762703034782218,0.237296965217781,0.264263375290759,"at least one"
"55-60","2017","woman",0.702520068593057,0.297479931406943,0.687770990295151,0.717269146890963,0.282730853109037,0.312229009704849,"at least one"
"60-65","2017","woman",0.687977965592685,0.312022034407315,0.672976465454534,0.702979465730836,0.297020534269164,0.327023534545465,"at least one"
"65-70","2017","woman",0.660646353785279,0.339353646214721,0.643720723080164,0.677571984490393,0.322428015509607,0.356279276919836,"at least one"
"70-75","2017","woman",0.634010337424143,0.365989662575857,0.612280258242853,0.655740416605433,0.344259583394567,0.387719741757147,"at least one"
"75-80","2017","woman",0.635667572243075,0.364332427756925,0.607903862576518,0.663431281909632,0.336568718090368,0.392096137423482,"at least one"
"80+","2017","woman",0.693765647711213,0.306234352288787,0.667858376004718,0.719672919417709,0.280327080582291,0.332141623995283,"at least one"
"50-55","2017","man",0.783298427922407,0.216701572077593,0.76904969510593,0.797547160738885,0.202452839261115,0.23095030489407,"at least one"
"55-60","2017","man",0.746296996781562,0.253703003218438,0.730252105610298,0.762341887952827,0.237658112047173,0.269747894389702,"at least one"
"60-65","2017","man",0.710567038934708,0.289432961065292,0.694573788213665,0.726560289655751,0.273439710344249,0.305426211786335,"at least one"
"65-70","2017","man",0.6597199901504,0.3402800098496,0.642493555190039,0.676946425110762,0.323053574889238,0.357506444809961,"at least one"
"70-75","2017","man",0.643111884377907,0.356888115622093,0.621676404220142,0.664547364535672,0.335452635464328,0.378323595779858,"at least one"
"75-80","2017","man",0.61204269324323,0.38795730675677,0.58264826992018,0.64143711656628,0.35856288343372,0.41735173007982,"at least one"
"80+","2017","man",0.669064839559901,0.330935160440099,0.640393848614598,0.697735830505204,0.302264169494796,0.359606151385402,"at least one"
"50-55","2017","woman",0.891838743476902,0.108161256523098,0.881943114349295,0.901734372604508,0.0982656273954921,0.118056885650705,"adl"
"55-60","2017","woman",0.864420481392549,0.135579518607451,0.853152886331318,0.87568807645378,0.12431192354622,0.146847113668682,"adl"
"60-65","2017","woman",0.829742241695476,0.170257758304524,0.817216382722691,0.84226810066826,0.15773189933174,0.182783617277309,"adl"
"65-70","2017","woman",0.78631389509052,0.21368610490948,0.771326817805166,0.801300972375874,0.198699027624126,0.228673182194833,"adl"
"70-75","2017","woman",0.710303746785345,0.289696253214655,0.689671396154516,0.730936097416174,0.269063902583826,0.310328603845484,"adl"
"75-80","2017","woman",0.658873278591728,0.341126721408272,0.631269282885117,0.686477274298338,0.313522725701662,0.368730717114883,"adl"
"80+","2017","woman",0.5406809501159,0.4593190498841,0.512585120812406,0.568776779419394,0.431223220580606,0.487414879187594,"adl"
"50-55","2017","man",0.929885868391372,0.0701141316086279,0.920606526348651,0.939165210434093,0.0608347895659068,0.079393473651349,"adl"
"55-60","2017","man",0.909648036523146,0.0903519634768543,0.898597758640522,0.92069831440577,0.0793016855942302,0.101402241359478,"adl"
"60-65","2017","man",0.871458808935664,0.128541191064336,0.8593079992535,0.883609618617828,0.116390381382172,0.1406920007465,"adl"
