"Country","GAP_DFLE","GAP_DFLE.l","GAP_DFLE.u","GAP_LE","Mortality","Chronic","Mortality.l","Mortality.u","Chronic.l","Chronic.u"
"China",0.15444033580296,0.226061394594703,0.0828192770112235,3.81425734,1.12238048578629,-0.967966374256019,1.33723030326,0.907530668312596,-1.1111893237799,-0.824743424732103
"US",-0.161776655624718,-0.255954197851747,-0.0675991148621629,2.98500143,0.332918193622038,-0.494695601256724,0.390911180688099,0.274925207767203,-0.646864301720862,-0.342526903468579
"Korea",-1.60909094204409,-1.60895918241218,-1.60922273411381,5.56264964,1.94747385021491,-3.55649490113677,2.19529871092739,1.69964898900971,-3.80417726091995,-3.30881257329674
"India",1.07885633744656,1.10080769968816,1.05690497520497,1.62685055,1.06874368672527,0.0101075035741935,1.10930618656728,1.02818118688324,-0.00850359371527354,0.0287186008636997
"Austria",0.458835105303557,0.385851559472281,0.531818654981183,3.70098141,0.886893106872948,-0.428044010147172,1.11235189556994,0.661434319026641,-0.726481711561897,-0.129606305737464
"Germany",0.0808729651380515,0.215410427998517,-0.0536644965416597,3.6403733,0.688731384654078,-0.607856074130379,0.877836687281761,0.499626081629539,-0.662423875682776,-0.553288271000274
"Sweden",-0.0913760158802432,-0.0952359632216542,-0.0875160616362329,2.73424215,0.727587375471737,-0.818964435479677,0.869392880444025,0.585781871537501,-0.964629066444408,-0.673299798650605
"Spain",-1.49588216644572,-1.58199008684663,-1.40977424306355,4.36687715,0.586880306978255,-2.08273818513063,0.765825655612025,0.407934961533926,-2.34778505703316,-1.8176913134364
"Italy",-1.35528493444941,-1.31903646072197,-1.39153344524376,3.50535001,0.720199678023608,-2.075460140308,0.891508215233953,0.548891140161122,-2.21051906466052,-1.94040125236961
"France",-0.808449161161288,-0.836332319524081,-0.780565999109804,4.52951545,0.600933673597844,-1.40937114310376,0.783051158995604,0.41881618883574,-1.61936595022928,-1.19937633292573
"Denmark",-0.317371919697345,-0.477687824250198,-0.157056026956383,2.99040254,0.692178529665973,-1.00954529062974,0.768260316524852,0.616096741936274,-1.24593485588221,-0.773155736318567
"Greece",-1.39465128983539,-1.26342339368013,-1.5258791768297,4.00813321,1.39884010265485,-2.79346260435095,1.60887215367354,1.18880805254366,-2.87226720673811,-2.71465799370988
"Switzerland",-0.162831553262386,0.0999983564818603,-0.425661457612242,3.26184773,0.911895001324837,-1.0747237024765,1.1101122048492,0.713677798273484,-1.0101140175036,-1.139333382528
"Belgium",-0.551200371518728,-0.545853815871888,-0.556546913386935,3.53302219,0.71020963570679,-1.2613948791398,0.860983351897173,0.55943591890687,-1.40682029729737,-1.11596944659435
"Israel",1.69399251373717,1.80719318934385,1.58079184481544,2.80449061,0.632799214066686,1.06117871945438,0.842577854886022,0.423020574707219,0.964597415957945,1.15776002817594
"Czech Republic",0.207007269514686,0.071234302559926,0.342780233652462,4.16821228,0.734257814456998,-0.527240423648457,0.961059550755071,0.507456078141985,-0.889803238775548,-0.164677611322008
"Poland",-0.411824419875078,-0.432402628668732,-0.391246213636789,5.01288162,0.701843692912358,-1.11362557183543,0.970007339912663,0.433680044807534,-1.40234907397882,-0.824902071142388
"Luxembourg",-0.418129915621306,-0.608153038391482,-0.228106799241988,3.06736405,0.695766686825718,-1.11390073618563,0.868528380285158,0.523004990987888,-1.47667519801183,-0.75112627837184
"Portugal",-2.36541587275987,-2.39017608005433,-2.34065567743786,4.14883014,0.748144899181456,-3.11356120234471,1.18727458813057,0.309015207250884,-3.57745823100002,-2.64966418268031
"Slovenia",1.04355443728485,1.10807787768509,0.979030989129466,4.30839966,1.36965828143746,-0.32609922143971,1.61835788820176,1.12095867503983,-0.51027194747053,-0.141926503529918
"Estonia",0.173348290942233,0.301142663212298,0.0455539201536688,5.64655618,1.03004149749202,-0.856691380760105,1.1615430600266,0.89853993590626,-0.86038172815073,-0.853001032836714
"Croatia",-0.0823395563353824,0.0294295909518105,-0.194108712217105,4.27558449,1.63538320710084,-1.71767160466081,2.02268383913148,1.2480825743055,-1.99319316605839,-1.44215005109271
"Europe",-0.462439663586654,-0.400761003257198,-0.524118316234667,4.15238648,0.82694709167528,-1.28937182294391,0.912740286187494,0.741153896975831,-1.31348602243412,-1.26525761558507
"Mexico",-1.9651060107088,-2.05719268101918,-1.87301934039841,2.63817975,1.0476301305796,-3.01271940929196,1.22799887452143,0.867261386637785,-3.28517200287065,-2.74026681571328
"England",-0.757005302356824,-0.792715345335578,-0.721295259378075,2.67951547,0.588554282446362,-1.3455558549585,0.682128418977153,0.494980145915582,-1.47483928800906,-1.216272421908
