"Age","Country","Mortality","Disability","Mortality.l","Mortality.u","Disability.l","Disability.u"
60,"China",0.510804649265614,-0.317972146113624,0.546284659783367,0.475324638747873,-0.315206779082299,-0.320737513144959
65,"China",0.489748829715012,-0.442220004545655,0.53159478056879,0.447902878861242,-0.426198315206847,-0.458241693884483
70,"China",0.483028470609073,-0.371548219933757,0.533057860002401,0.432999081215726,-0.34453193073772,-0.398564509129777
75,"China",0.39251347547823,-0.14280844855101,0.442222946888997,0.342804004067469,-0.139620640185088,-0.145996256916934
80,"China",0.513131488855207,-0.659900410758993,0.58813450851868,0.43812846919171,-0.874640704346808,-0.445160117171181
60,"US",0.460084382552925,0.0107505989216463,0.473735472871212,0.446433292209552,0.0151354745615997,0.00636572328170715
65,"US",0.42145006072753,-0.0581945724209447,0.434801745873525,0.408098375590555,-0.0691505912282047,-0.0472385581847483
70,"US",0.396675500670359,-0.262385647230165,0.4099038800336,0.383447121222144,-0.264574333854636,-0.260196964765449
75,"US",0.352203249610849,-0.0698656988587061,0.364416110738841,0.33999038830293,-0.0803092888926713,-0.0594221088247338
80,"US",0.626221290649514,-0.244067719311033,0.648857006850573,0.603585574038576,-0.265208020624062,-0.222927411943157
60,"Korea",0.70454298198446,0.0346042285321992,0.721069480049248,0.688016484071539,-0.000354205019803544,0.0695626571764123
65,"Korea",0.784130184968287,0.0585903513509685,0.805864258427341,0.762396111731466,0.0386949792466034,0.0784857281218905
70,"Korea",0.78608508524189,0.0234966048823502,0.812103267534297,0.760066903263585,0.0153501600926766,0.0316430453612142
75,"Korea",0.798421688185098,0.0244423183128752,0.831008891002295,0.76583448587742,0.0141522236337899,0.0347324092241443
80,"Korea",1.67140024856657,-0.493316928331712,1.74916834647235,1.59363215185694,-0.529050790206874,-0.457583060059306
60,"India",0.318716890310929,-0.199254463938669,0.327522866265602,0.309910914356262,-0.197463083432131,-0.201045844445185
65,"India",0.22915588107694,-0.208272179771447,0.236714806487679,0.221596955666225,-0.203615320251679,-0.212929039291256
70,"India",0.253234302881939,-0.282067319499824,0.263308804256013,0.243159801507865,-0.274922156604696,-0.289212482394969
75,"India",0.170345461810408,-0.204406653111674,0.178153930374007,0.162536993246805,-0.202515420527785,-0.206297885695562
80,"India",0.12012891084404,-0.362913472885291,0.125955579932091,0.114302241755979,-0.367386509294779,-0.358440436475808
60,"Austria",0.480842231956448,-0.0325332285205846,0.505592934077004,0.456091529784437,-0.00523844331091539,-0.0598280137302645
65,"Austria",0.550266919484489,0.151963050703504,0.583049181753875,0.517484657135594,0.0951034210012978,0.208822680405714
70,"Austria",0.567545768703649,0.165939636503346,0.607360752515859,0.52773078484357,0.125488659339091,0.206390609409269
75,"Austria",0.465335459657478,-0.161771758397066,0.505630296592177,0.425040622750469,-0.148656655854957,-0.174886868422583
80,"Austria",0.659922878485439,-0.755253617593976,0.727121715967932,0.592724041097718,-0.851919766561497,-0.658587456620698
60,"Germany",0.513797993569778,0.156141638821016,0.54263808662968,0.484957900838051,0.105168970485973,0.207114302269837
65,"Germany",0.532509590403677,-0.0158812126768346,0.566831625890117,0.498187555325305,-0.00151178894527604,-0.0302506364083861
70,"Germany",0.540581470390556,0.0205582250544865,0.580927138063068,0.500235803251446,0.0229848006548643,0.0181316452231712
75,"Germany",0.467801736686258,-0.103823628297398,0.509123951620239,0.426479522335281,-0.0625551700118336,-0.145092082892603
80,"Germany",0.667432756071907,-0.395027607465675,0.733413006757118,0.601452506374368,-0.387614063219548,-0.402441151711795
60,"Sweden",0.245627246408869,-0.144519955138858,0.255678837570624,0.235575655248027,-0.130472546898392,-0.158567363379333
65,"Sweden",0.307176136176739,-0.0104585991723916,0.320643208813834,0.293709063566382,-0.0153008497359295,-0.00561635331756349
70,"Sweden",0.404102032351975,0.0830003244577462,0.423986135029622,0.384217929724063,0.057304259262871,0.108696385269351
75,"Sweden",0.429436475736431,0.0620513048028783,0.452912742564806,0.405960208926125,0.058900143500189,0.0652024583423305
80,"Sweden",0.901693675462937,-0.15820184985219,0.953557910674935,0.849829440340383,-0.134650455276837,-0.181753231628758
