"Age","Country","Mortality","Chronic","Mortality.l","Mortality.u","Chronic.l","Chronic.u"
60,"China",0.224335990691292,-0.484287664726023,0.257318714807223,0.191353266575366,-0.509185816244785,-0.459389513207253
65,"China",0.21654109632011,-0.27638897099565,0.253419695549359,0.179662497090862,-0.291361702382307,-0.26141623960898
70,"China",0.222592188137851,-0.365429659816645,0.26601068468177,0.179173691593943,-0.387103601088693,-0.343755718544598
75,"China",0.193889187291541,0.0914825538120514,0.235682626014604,0.152095748568474,0.128102719660032,0.0548623879640804
80,"China",0.265022023345496,0.0666573674702473,0.324798582207049,0.205245464483951,-0.0516409237241486,0.184955658664648
60,"US",0.088896818878323,-0.233547396898445,0.102232797255595,0.0755608406410282,-0.270190348059294,-0.19690444573762
65,"US",0.0661571003516799,-0.0875193888943344,0.0776384258144356,0.0546757750987146,-0.0867661275757676,-0.0882726547839501
70,"US",0.0534210114923481,-0.172176898817566,0.0632596733687416,0.0435823498006633,-0.223280041600447,-0.121073760194448
75,"US",0.0448110360662817,0.0320248277652322,0.0531263244459623,0.0364957478858834,0.022621692135055,0.0414279633954124
80,"US",0.0796322268334051,-0.0334767444116104,0.0946539598033649,0.0646104943409131,-0.0892494766204086,0.0222959938520262
60,"Korea",0.313960451699687,-0.702729375747779,0.348458483297875,0.279462420076877,-0.71594308990977,-0.689515671401347
65,"Korea",0.325639716039198,-0.655678527799669,0.364642909435192,0.286636522608729,-0.671291105398449,-0.640065959533985
70,"Korea",0.314226635822992,-0.86254569917042,0.354369948941057,0.274083322658687,-0.920192237959681,-0.804899160381158
75,"Korea",0.319669093970544,-0.543448177215749,0.362344279875447,0.276993907992404,-0.582395780707289,-0.504500573724215
80,"Korea",0.673977952682485,-0.792093121203154,0.765483089377819,0.582472815673016,-0.914355046944758,-0.669831208256035
60,"India",0.284584405987376,-0.107894153268198,0.294026812557627,0.275141999417123,-0.112631137728522,-0.103157168807876
65,"India",0.212569039497859,0.00393658771348271,0.22042681377034,0.204711265225386,0.00265831826206941,0.00521485716491732
70,"India",0.249608746754785,-0.0323327405721141,0.259761736803126,0.239455756706429,-0.031286193886281,-0.0333792872579508
75,"India",0.183680867793448,0.0638725554621455,0.191269772187562,0.176091963399321,0.0594637350627849,0.0682813758615133
80,"India",0.138300626691803,0.0825252542388775,0.143821051248624,0.132780202134978,0.0732916845746754,0.0917588239030955
60,"Austria",0.18837507864179,-0.181477003536845,0.223533664994324,0.153216492503955,-0.227363831704269,-0.1355901802648
65,"Austria",0.195731372967278,0.299857777255236,0.237286199794456,0.154176546371128,0.273741151907172,0.325974397971414
70,"Austria",0.184285466401759,0.120492398340928,0.230440694384326,0.13813023862467,0.069464401442028,0.171520399498108
